case,mu,signal,series,samples,relative_max_error,relative_l2_error,absolute_max_error,absolute_l2_error,max_error_time,wall_seconds,status,notes
ACTIVSg200,70.1704,vmag,200,2403,2.264465486513e-03,4.740787278042e-04,2.499481451905e-03,2.444794841763e-02,1.491666666667e+00,0.168084,ok,
ACTIVSg200,83.7678,omega,40,2403,9.036244301755e-03,1.039821255115e-02,9.665107265944e-05,1.268563305494e-03,1.462500000000e+00,0.215689,ok,
ACTIVSg200,83.7678,p,40,2403,1.809809401143e-03,4.795842299807e-04,1.086368389246e-02,1.338037183341e-01,2.070833333333e+00,0.215689,ok,
ACTIVSg200,83.7678,q,40,2403,2.193992599133e-03,2.230161167846e-03,7.845237708320e-03,8.027307833548e-02,1.520833333333e+00,0.215689,ok,
ACTIVSg200,83.7678,vmag,200,2403,1.945590054920e-03,4.083115908724e-04,2.147511756856e-03,2.105637761518e-02,1.491666666667e+00,0.215689,ok,
ACTIVSg200,100,omega,40,2403,7.744547762760e-03,9.172420710028e-03,8.283517173033e-05,1.119018896571e-03,1.462500000000e+00,0.216472,ok,
ACTIVSg200,100,p,40,2403,1.695616028147e-03,4.387356523353e-04,1.017821905507e-02,1.224069891759e-01,2.062500000000e+00,0.216472,ok,
ACTIVSg200,100,q,40,2403,1.880985407277e-03,1.922950236588e-03,6.725992444915e-03,6.921523753639e-02,1.520833333333e+00,0.216472,ok,
ACTIVSg200,100,vmag,200,2403,1.670747054976e-03,3.514697881417e-04,1.844144368554e-03,1.812508080808e-02,1.491666666667e+00,0.216472,ok,
ACTIVSg200,119.378,omega,40,2403,6.631700107317e-03,8.147903399277e-03,7.093222665566e-05,9.940296198204e-04,1.462500000000e+00,0.215384,ok,
ACTIVSg200,119.378,p,40,2403,1.584290728427e-03,4.027296747371e-04,9.509970307651e-03,1.123613425852e-01,2.054166666667e+00,0.215384,ok,
ACTIVSg200,119.378,q,40,2403,1.611799060948e-03,1.659610060768e-03,5.763440941496e-03,5.973649363783e-02,1.520833333333e+00,0.215384,ok,
ACTIVSg200,119.378,vmag,200,2403,1.434026604284e-03,3.023845311232e-04,1.582856051590e-03,1.559378429281e-02,1.491666666667e+00,0.215384,ok,
ACTIVSg200,142.51,omega,40,2403,5.673991780692e-03,7.291441929297e-03,6.068864160282e-05,8.895428546153e-04,1.462500000000e+00,0.168351,ok,
ACTIVSg200,142.51,p,40,2403,1.474851608438e-03,3.701121624575e-04,8.853043669808e-03,1.032610758270e-01,2.054166666667e+00,0.168351,ok,
ACTIVSg200,142.51,q,40,2403,1.484769321384e-03,1.434623993739e-03,5.309210374219e-03,5.163827883462e-02,1.175000000000e+00,0.168351,ok,
ACTIVSg200,142.51,vmag,200,2403,1.230331201144e-03,2.600422701329e-04,1.358020263623e-03,1.341021993553e-02,1.491666666667e+00,0.168351,ok,
ACTIVSg200,170.125,omega,40,2403,4.948086481716e-03,6.541971586144e-03,5.292440643473e-05,7.981088152357e-04,1.854166666667e+00,0.165079,ok,
ACTIVSg200,170.125,p,40,2403,1.366167441296e-03,3.397781696930e-04,8.200648762807e-03,9.479790967169e-02,2.045833333333e+00,0.165079,ok,
ACTIVSg200,170.125,q,40,2403,1.441159181004e-03,1.242635262220e-03,5.153270049756e-03,4.472777985052e-02,1.175000000000e+00,0.165079,ok,
ACTIVSg200,170.125,vmag,200,2403,1.055252166657e-03,2.235883929440e-04,1.164770774097e-03,1.153031590933e-02,1.491666666667e+00,0.165079,ok,
ACTIVSg200,203.092,omega,40,2403,4.465929306621e-03,5.903040964386e-03,4.776728511228e-05,7.201604238624e-04,1.845833333333e+00,0.165141,ok,
ACTIVSg200,203.092,p,40,2403,1.258152629348e-03,3.113311053961e-04,7.552271772412e-03,8.686119544993e-02,2.037500000000e+00,0.165141,ok,
ACTIVSg200,203.092,q,40,2403,1.401636443187e-03,1.079249788443e-03,5.011945382946e-03,3.884683495538e-02,1.175000000000e+00,0.165141,ok,
ACTIVSg200,203.092,vmag,200,2403,9.050010375924e-04,1.922829351224e-04,9.989259367782e-04,9.915912703437e-03,1.491666666667e+00,0.165141,ok,
ACTIVSg200,240,omega,40,2403,4.041252936380e-03,5.388978485335e-03,4.322497468483e-05,6.574457222301e-04,1.845833333333e+00,0.164662,ok,
ACTIVSg200,240,p,40,2403,1.157930987996e-03,2.858664774019e-04,6.950674593095e-03,7.975657920399e-02,2.037500000000e+00,0.164662,ok,
ACTIVSg200,240,q,40,2403,1.367715431054e-03,9.479230604156e-04,4.890651262084e-03,3.411982200294e-02,1.175000000000e+00,0.164662,ok,
ACTIVSg200,240,vmag,200,2403,7.828718022516e-04,1.668367520445e-04,8.641216042380e-04,8.603668692416e-03,1.491666666667e+00,0.164662,ok,
ACTIVSg200,242.446,omega,40,2403,4.016496521122e-03,5.358893025353e-03,4.296018170115e-05,6.537753500026e-04,1.845833333333e+00,0.168215,ok,
ACTIVSg200,242.446,p,40,2403,1.151919089725e-03,2.843213043545e-04,6.914587167330e-03,7.932547683181e-02,2.037500000000e+00,0.168215,ok,
ACTIVSg200,242.446,q,40,2403,1.365730509925e-03,9.406067487707e-04,4.883553618230e-03,3.385647652537e-02,1.175000000000e+00,0.168215,ok,
ACTIVSg200,242.446,vmag,200,2403,7.760733169408e-04,1.654106565942e-04,8.566175428881e-04,8.530125827142e-03,1.491666666667e+00,0.168215,ok,
