time_s,accepted_steps,residual_evaluations,error_test_failures
1.55,105844,164083,6363
1.56,106564,165161,6398
1.57,107121,166164,6474
1.58,107729,167084,6492
1.59,108358,168173,6578
1.6,109007,169170,6604
1.61,109671,170378,6685
1.62,110303,171326,6720
1.63,110840,172147,6747
1.64,111507,173352,6833
1.65,112135,174287,6861
1.66,112645,175084,6893
1.67,113246,176007,6924
1.68,113860,176968,6964
1.69,114470,177876,6998
1.7,115028,178759,7030
1.71,115582,179639,7057
1.72,116237,180682,7101
1.73,117037,182388,7315
1.74,117627,183255,7332
1.75,118277,184277,7369
1.76,118846,185129,7391
1.77,119436,186013,7416
1.78,120143,187150,7456
1.79,120756,188109,7496
1.8,121382,189093,7516
1.81,121978,189983,7542
1.82,122535,190820,7566
1.83,123210,191925,7628
1.84,123926,193225,7739
1.85,124513,194312,7838
1.86,125020,195133,7876
1.87,125649,196139,7919
1.88,126257,197126,7974
1.89,126940,198374,8100
1.9,127479,199223,8123
1.91,128299,200545,8210
1.92,128902,201458,8244
1.93,129495,202407,8272
1.94,130180,203673,8384
1.95,130825,204664,8410
1.96,131308,205447,8433
1.97,131930,206414,8462
1.98,132437,207222,8486
1.99,133050,208174,8523
2,133695,209131,8565
2.01,134232,209985,8615
2.02,134795,210867,8645
2.03,135445,211954,8727
2.04,136020,212855,8763
2.05,136670,214003,8847
2.06,137289,214982,8878
2.07,137895,215940,8937
2.08,138435,216810,8972
2.09,138886,217592,9005
2.1,139579,218882,9108
2.11,140137,219729,9136
2.12,140697,220591,9162
2.13,141168,221333,9175
2.14,141863,222422,9198
2.15,142472,223366,9231
2.16,143113,224379,9270
2.17,143752,225363,9297
2.18,144346,226273,9334
2.19,144993,227451,9447
2.2,145757,228832,9566
2.21,146321,229733,9612
2.22,147013,231025,9711
2.23,147551,231867,9743
2.24,148099,232825,9773
2.25,148675,233733,9806
2.26,149177,234539,9832
2.27,149639,235262,9858
2.28,150235,236168,9883
2.29,150795,237052,9933
2.3,151459,238310,10042
2.31,151992,239163,10080
2.32,152637,240383,10192
2.33,153268,241520,10273
2.34,153856,242416,10298
2.35,154527,243514,10359
2.36,155208,244727,10443
2.37,155853,245736,10479
2.38,156446,246730,10521
2.39,157046,247759,10589
2.4,157553,248602,10618
2.41,158127,249503,10646
2.42,158767,250469,10677
2.43,159487,251876,10823
2.44,160095,252786,10851
2.45,160680,253719,10881
2.46,161215,254563,10904
2.47,161838,255513,10935
2.48,162457,256488,10961
2.49,163204,257665,10998
2.5,163784,258561,11024
2.51,164425,259545,11047
2.52,165086,260543,11075
2.53,165610,261430,11112
2.54,166187,262373,11147
2.55,166952,263829,11277
2.56,167525,264773,11318
2.57,168152,265771,11351
2.58,168700,266612,11379
2.59,169318,267569,11398
2.6,169902,268446,11433
2.61,170495,269373,11463
2.62,171084,270270,11491
2.63,171594,271080,11513
2.64,172211,272007,11545
2.65,172775,272876,11568
2.66,173435,274072,11680
2.67,173997,274923,11699
2.68,174628,275905,11717
2.69,175182,276835,11748
2.7,175822,277879,11794
2.71,176520,279172,11921
2.72,177124,280152,11945
2.73,177688,281027,11974
2.74,178363,282061,12015
2.75,178951,283023,12054
2.76,179495,283857,12089
2.77,180106,284786,12124
2.78,180681,285678,12158
2.79,181326,286873,12271
2.8,181902,287730,12296
2.81,182570,288804,12333
2.82,183218,289798,12365
2.83,183931,290952,12418
2.84,184468,291793,12449
2.85,185153,292783,12478
2.86,185799,293750,12509
2.87,186373,294644,12544
2.88,186951,295558,12569
2.89,187599,296664,12653
2.9,188043,297419,12680
2.91,188519,298133,12699
2.92,189126,299104,12736
2.93,189703,300010,12758
2.94,190273,300855,12783
2.95,191027,302224,12905
2.96,191614,303129,12931
2.97,192192,304011,12967
2.98,192863,305065,13013
2.99,193431,305973,13057
3,194152,307078,13101
