t sa_top sb_top sc_top sa_bottom sb_bottom sc_bottom
0.0014055833 1.0000000000 0.0000000000 1.0000000000 0.5880280640 0.1976714339 0.7142136327
0.0014197250 1.0000000000 0.0000000000 1.0000000000 0.5894605170 0.1974803250 0.7129907065
0.0014338667 1.0000000000 0.0000000000 1.0000000000 0.5908908946 0.1972979273 0.7117604754
0.0014480083 1.0000000000 0.0000000000 1.0000000000 0.5923191643 0.1971242344 0.7105229737
0.0014621500 1.0000000000 0.0000000000 1.0000000000 0.5937452934 0.1969592399 0.7092782363
0.0014762917 1.0000000000 0.0000000000 1.0000000000 0.5951692495 0.1968029369 0.7080262986
0.0014904333 1.0000000000 0.0000000000 1.0000000000 0.5965910001 0.1966553184 0.7067671959
0.0015045750 1.0000000000 0.0000000000 1.0000000000 0.5980105126 0.1965163771 0.7055009643
0.0015187167 1.0000000000 0.0000000000 1.0000000000 0.5994277546 0.1963861053 0.7042276400
0.0015328583 1.0000000000 0.0000000000 1.0000000000 0.6008426935 0.1962644950 0.7029472596
0.0015470000 1.0000000000 0.0000000000 1.0000000000 0.6022552969 0.1961515382 0.7016598600
0.0015611417 1.0000000000 0.0000000000 1.0000000000 0.6036655324 0.1960472263 0.7003654786
0.0015752833 1.0000000000 0.0000000000 1.0000000000 0.6050733674 0.1959515506 0.6990641529
0.0015894250 1.0000000000 0.0000000000 1.0000000000 0.6064787695 0.1958645020 0.6977559210
0.0016035667 1.0000000000 0.0000000000 1.0000000000 0.6078817063 0.1957860714 0.6964408213
0.0016177083 1.0000000000 0.0000000000 1.0000000000 0.6092821454 0.1957162491 0.6951188922
0.0016318500 1.0000000000 0.0000000000 1.0000000000 0.6106800544 0.1956550254 0.6937901730
0.0016459917 1.0000000000 0.0000000000 1.0000000000 0.6120754009 0.1956023901 0.6924547028
0.0016601333 1.0000000000 0.0000000000 1.0000000000 0.6134681525 0.1955583329 0.6911125214
0.0016742750 1.0000000000 0.0000000000 1.0000000000 0.6148582768 0.1955228433 0.6897636688
0.0016884167 1.0000000000 0.0000000000 1.0000000000 0.6162457415 0.1954959103 0.6884081854
0.0017025583 1.0000000000 0.0000000000 1.0000000000 0.6176305142 0.1954775228 0.6870461117
0.0017167000 1.0000000000 0.0000000000 1.0000000000 0.6190125626 0.1954676695 0.6856774889
0.0017308417 1.0000000000 0.0000000000 1.0000000000 0.6203918544 0.1954663388 0.6843023583
0.0017449833 0.9999999998 0.0000000000 1.0000000000 0.6217683572 0.1954735186 0.6829207615
0.0017591250 0.9999999948 0.0000000000 1.0000000000 0.6231420388 0.1954891970 0.6815327405
0.0017732667 0.9999998898 0.0000000000 1.0000000000 0.6245128669 0.1955133615 0.6801383377
0.0017874083 0.9999976627 0.0000000000 1.0000000000 0.6258808091 0.1955459995 0.6787375957
0.0018015500 0.9999504222 0.0000000000 1.0000000000 0.6272458332 0.1955870980 0.6773305575
0.0018156917 0.9989493738 0.0000000000 1.0000000000 0.6286083994 0.1956366441 0.6759172662
0.0018298333 0.9781768198 0.0000000000 0.9999999994 0.6299712225 0.1956946242 0.6744977657
0.0018439750 0.6787684249 0.0000000000 0.9999999866 0.6313310314 0.1957610248 0.6730720996
0.0018581167 0.0905875237 0.0000000000 0.9999997160 0.6326877945 0.1958358321 0.6716416786
0.0018722583 0.0046738736 0.0000000000 0.9999939750 0.6340414801 0.1959190318 0.6702085756
0.0018864000 0.0002213194 0.0000000000 0.9998722087 0.6353920565 0.1960106098 0.6687694419
0.0019005417 0.0000104355 0.0000000000 0.9972961854 0.6367394922 0.1961105515 0.6673243233
0.0019146833 0.0000004920 0.0000000000 0.9456169075 0.6380837555 0.1962188420 0.6658732660
0.0019288250 0.0000000232 0.0000000000 0.4504591340 0.6394248149 0.1963354662 0.6644163166
0.0019429667 0.0000000011 0.0000000000 0.0372043399 0.6407626387 0.1964604091 0.6629535220
