t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,SynchronousMachine_machine_1_omega,SynchronousMachine_machine_1_te,SynchronousMachine_machine_1_ia,SynchronousMachine_machine_1_p,LineLumped_line_1_2_i12a
1.1500000000000000e-02,-9.9341415046175491e+04,-1.7180478190867847e+05,2.8101585360477492e+05,-1.2171781416526134e+05,-1.6012312226964382e+05,2.8235740466314758e+05,1.0000123411129056e+00,4.9219632694728704e-01,-1.2126805277235827e+02,2.4500835938140300e+08,-1.8468686010628443e+02
1.2000000000000000e-02,-5.5012712059839119e+04,-2.1703579401205093e+05,2.6324722899718792e+05,-7.0939410494665281e+04,-1.9968060721100878e+05,2.7492515241177974e+05,1.0000114465128465e+00,4.9226582601016983e-01,-2.3842666715996856e+01,2.4633751943450218e+08,-8.1767982943044572e+01
1.2500000000000001e-02,3.8501712192261894e+03,-2.4146191583119152e+05,2.4640969350615516e+05,-2.0389661721286757e+04,-2.3466731651909879e+05,2.5566455959662533e+05,1.0000106155217787e+00,4.9126513577238068e-01,8.6803147310123038e+01,2.4575743685596192e+08,2.1191772557804075e+01
1.3000000000000001e-02,5.1101341969362744e+04,-2.6972150345272879e+05,2.1110303791672905e+05,3.3467112764663885e+04,-2.5891519821281082e+05,2.2929387353137397e+05,1.0000099045029034e+00,4.8791545113701129e-01,1.8229382134850184e+02,2.4512020532843286e+08,1.2677215288764545e+02
1.3500000000000000e-02,1.0708719232454388e+05,-2.7669754591111577e+05,1.7742551256422201e+05,8.3787748288450559e+04,-2.7630605289616721e+05,1.9286848355004366e+05,1.0000094693682435e+00,4.8396815456646752e-01,2.8310582181759338e+02,2.4288558969179475e+08,2.2426366620343148e+02
1.4000000000000000e-02,1.4957417478678405e+05,-2.8485281410032680e+05,1.2886032551326307e+05,1.3330825088714200e+05,-2.8161326848940173e+05,1.5139772640913763e+05,1.0000093214414509e+00,4.7880763123408893e-01,3.6234112336098184e+02,2.4087376514700350e+08,3.1749747916935206e+02
1.4500000000000001e-02,1.9564159859787821e+05,-2.7252655349255376e+05,8.3778954504020541e+04,1.7606217912519330e+05,-2.7908224582418625e+05,1.0282356064053663e+05,1.0000095284245800e+00,4.7423261685944207e-01,4.3980128619288001e+02,2.3798144484185621e+08,3.9562728191267746e+02
1.4999999999999999e-02,2.2653729796130784e+05,-2.6025854836905192e+05,2.8216156807500789e+04,2.1441259476814678e+05,-2.6455559319427185e+05,5.2269618852873762e+04,1.0000100190226160e+00,4.6993904246127993e-01,4.9083329642341840e+02,2.3588160668526486e+08,4.6345668370302707e+02
1.5500000000000000e-02,2.5694388386050428e+05,-2.2964999916646804e+05,-2.1276972266912930e+04,2.4339717792563749e+05,-2.4264970709532540e+05,-1.6779292744273992e+03,1.0000107616292200e+00,4.6735494282879214e-01,5.3486065427187395e+02,2.3375388271032196e+08,5.1106576119422215e+02
1.6000000000000000e-02,2.7126093090432993e+05,-1.9947751488521494e+05,-7.6549549090946501e+04,2.6535978067702468e+05,-2.1025646099819287e+05,-5.4039517791047743e+04,1.0000116196583249e+00,4.6615533517702323e-01,5.4988903361020766e+02,2.3284381768811128e+08,5.4424314983306397e+02
1.6500000000000001e-02,2.8241442618501186e+05,-1.5427040134741963e+05,-1.2296570495877374e+05,2.7640945219759061e+05,-1.7226800778425919e+05,-1.0586457843932156e+05,1.0000124988674244e+00,4.6704404346085432e-01,5.5518329108241710e+02,2.3252235474160421e+08,5.5455085410931702e+02
