t,Bus_Bus_1_Vm,Genrou_DV1_speed
3.2083299999999998e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.2500000000000001e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.2916699999999999e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.3333299999999999e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.3750000000000002e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.4166700000000000e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.4583300000000000e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.4999999999999998e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.5416700000000001e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.5833300000000001e-01,1.0000004769999999e+00,1.0000001190000001e+00
3.6249999999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.6666700000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.7083300000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.7500000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.7916699999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.8333299999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.8750000000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.9166699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
3.9583299999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.0000000000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.0416700000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.0833300000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.1249999999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.1666700000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.2083300000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.2499999999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.2916700000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.3333300000000002e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.3750000000000000e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.4166699999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.4583299999999998e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.5000000000000001e-01,1.0000004769999999e+00,1.0000000000000000e+00
4.5416699999999999e-01,1.0000004769999999e+00,1.0000000000000000e+00
