time,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,minimum,maximum
0.341597222,0.992652468,0.991642505,0.985294055,0.978791142,0.989260975,0.981308718,0.980587557,0.978754347,0.987734681,0.980865983,0.974689851,0.977114922,0.978781702,0.982883062,0.978374412,0.982093724,0.975305367,0.975848974,0.991478313,0.988428365,0.979953803,0.997761845,0.999076543,0.994097337,0.996397922,0.994614971,0.994075176,1.00028979,1.00098184,1.001572,0.995253352,0.999509151,0.995164129,1.00194065,0.999521456,0.998038065,1.00041352,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934122403,0.00829245118
0.358263889,0.992651581,0.991641571,0.985292856,0.978790065,0.989260206,0.981307602,0.980586444,0.978753134,0.987733953,0.980864861,0.974688726,0.977113796,0.978780584,0.98288214,0.978373282,0.98209257,0.975304228,0.975847831,0.991477019,0.9884277,0.979952712,0.997761073,0.999075188,0.994097677,0.996397062,0.994614582,0.994074514,1.00028948,1.00098127,1.00157161,0.995254025,0.999508492,0.995165302,1.0019428,0.999520414,0.998039293,1.00041262,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934188564,0.00829179239
0.374930556,0.992650698,0.991640468,0.985291558,0.978788851,0.989259235,0.981306348,0.980585194,0.978751836,0.987732928,0.980863596,0.974687474,0.977112539,0.978779339,0.982881256,0.978372015,0.982091295,0.975302969,0.975846567,0.991475691,0.988427015,0.979951497,0.99776002,0.999073839,0.994097801,0.996396091,0.994613973,0.994074253,1.00028919,1.00098068,1.00157117,0.995254504,0.999507799,0.995166133,1.00194465,0.999519244,0.998040329,1.00041144,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934214711,0.00829109884
0.391597222,0.992649519,0.99163909,0.985290046,0.978787402,0.989258059,0.981304862,0.980583713,0.978750347,0.987731754,0.9808621,0.974685991,0.977111054,0.978777863,0.982880085,0.978370509,0.982089801,0.975301488,0.975845082,0.991474201,0.988426129,0.979950057,0.99775883,0.999072359,0.994097435,0.996394851,0.994612997,0.994073643,1.00028856,1.00097979,1.00157044,0.995254473,0.999506835,0.995166389,1.00194562,0.999517818,0.998040744,1.00041,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934275736,0.00829013515
0.408263889,0.992648046,0.991637454,0.985288349,0.978785717,0.989256647,0.981303151,0.980582002,0.978748669,0.987730366,0.980860372,0.974684279,0.977109342,0.978776156,0.982878646,0.978368781,0.982088087,0.975299781,0.975843375,0.991472533,0.988424955,0.979948394,0.997757422,0.999070724,0.994096668,0.996393328,0.994611673,0.994072469,1.00028767,1.0009788,1.00156947,0.995253912,0.999505679,0.995166027,1.0019458,0.999516122,0.998040732,1.00040827,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934393089,0.00828897947
0.424930556,0.992646249,0.991635486,0.985286381,0.978783737,0.98925489,0.981301147,0.980579998,0.978746732,0.987728616,0.98085835,0.974682282,0.977107342,0.978774158,0.982876885,0.978366767,0.982086093,0.975297794,0.975841387,0.991470632,0.988423488,0.979946437,0.997755667,0.999068851,0.994095337,0.996391472,0.994609926,0.994070911,1.00028641,1.00097766,1.0015681,0.995252778,0.999504163,0.995164973,1.00194487,0.999514128,0.998039994,1.00040622,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934548897,0.00828746289
0.441597222,0.992644087,0.991633121,0.98528411,0.978781413,0.989252717,0.981298813,0.980577663,0.978744481,0.987726436,0.980856,0.974679954,0.97710501,0.97877183,0.982874776,0.978364415,0.982083773,0.975295478,0.975839075,0.991468403,0.988421525,0.979944138,0.997753497,0.999066699,0.994093364,0.996389235,0.994607682,0.994069489,1.00028455,1.00097557,1.00156632,0.995250856,0.999502315,0.99516301,1.00194282,0.999511786,0.998038506,1.00040378,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.0093469107,0.00828561516
0.458263889,0.992641483,0.99163042,0.985281528,0.978778771,0.989250209,0.981296168,0.980575013,0.978741934,0.987723956,0.980853336,0.974677318,0.977102374,0.978769185,0.982872225,0.978361783,0.982081144,0.975292854,0.975836454,0.991465871,0.98841913,0.979941528,0.997751021,0.999064215,0.994090772,0.996386612,0.994604978,0.994066764,1.00028219,1.00097354,1.00156393,0.995248141,0.999499863,0.995160147,1.00193963,0.99950911,0.998036199,1.00040105,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00934963582,0.00828316276
0.474930556,0.992638586,0.99162737,0.985278656,0.978775843,0.989247304,0.981293244,0.980572091,0.97873911,0.987721063,0.980850412,0.974674416,0.977099467,0.978766274,0.982869383,0.978358854,0.982078244,0.975289965,0.975833566,0.991463079,0.988416377,0.979938616,0.997748135,0.999061487,0.9940876,0.99638367,0.994601861,0.994064906,1.00027937,1.00097032,1.00156106,0.995244793,0.999496925,0.995156587,1.00193535,0.999506164,0.998033148,1.000398,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00935149408,0.00828022531
0.491597222,0.992635338,0.991624053,0.985275514,0.978772637,0.989244102,0.981290042,0.980568885,0.978736017,0.987717864,0.980847201,0.974671245,0.97709629,0.978763077,0.982866166,0.9783557,0.982075071,0.975286804,0.975830407,0.991459994,0.988413139,0.979935425,0.997744953,0.999058442,0.99408388,0.996380415,0.994598371,0.994061615,1.000276,1.00096711,1.00155776,0.995240775,0.999493726,0.995152263,1.00193005,0.99950295,0.998029367,1.00039472,0.9935453,0.991225,0.9845477,0.9787999,0.9889847,0.9812064,0.9805826,0.9786187,0.98676777,0.980941,0.9749115,0.9773269,0.978953,0.9837641,0.97863114,0.9821866,0.97549564,0.97596043,0.991304,0.9896603,0.9799422,0.99639744,1,0.99340194,0.9966141,0.99510455,1.0034164,1,0.9953834,0.99579835,0.995215,0.9912167,0.995652,1,1,0.9965724,1,-0.00935478492,0.00827702588
