time,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,minimum,maximum
4.80826389,-0.00107131265,-0.00107131265,-0.00107131265,-0.00107131265,-0.00106292792,-0.00106292792,-0.00106659494,-0.0010652815,-0.00106112976,-0.00106112976,-0.00106597547,-0.00106621337,-0.00107018526,-0.00107288929,-0.00107288929,-0.00107288929,-0.00107311861,-0.00107018526,-0.00109706256,-0.00109700816,-0.00109696621,-0.00109624843,-0.001097054,-0.00112579162,-0.00107792258,-0.00107801082,-0.00107792258,-0.00107819568,-0.00108055173,-0.0010800434,-0.0021087465,-0.0021087465,-0.0021087465,-0.0021087465,-0.00215094561,-0.00215094561,-0.00214540142,-0.00214707141,-0.00215493812,-0.00215493812,-0.00214611761,-0.00214581961,-0.00210868393,-0.00210808694,-0.00210808694,-0.00210808694,-0.00210808694,-0.00210868393,-0.00204148669,-0.00204166568,-0.0020418434,-0.00202775566,-0.0020415454,-0.00208213385,-0.00210129293,-0.00210129293,-0.00210129293,-0.00210159202,-0.00210236583,-0.00210385593,0.000931507228,0.00109380836
4.82493056,-0.00105873687,-0.00105873687,-0.00105873687,-0.00105873687,-0.00104749664,-0.00104749664,-0.00105200266,-0.00105042327,-0.00104510891,-0.00104510891,-0.00105126151,-0.00105154683,-0.00104830133,-0.0010496057,-0.0010496057,-0.0010496057,-0.00104979028,-0.00104830133,-0.00107568816,-0.00107563644,-0.00107559663,-0.00107240488,-0.00107567998,-0.00110399947,-0.00106000916,-0.00106010625,-0.00106000916,-0.00106040527,-0.00106134789,-0.00106082636,-0.00209569533,-0.00209569533,-0.00209569533,-0.00209569533,-0.00213759941,-0.00213759941,-0.00213229263,-0.00213390193,-0.00214165261,-0.00214165261,-0.00213300882,-0.00213271082,-0.00209640665,-0.00209616617,-0.00209616617,-0.00209616617,-0.00209616617,-0.00209640665,-0.00203564065,-0.00203581945,-0.00203593875,-0.00201302661,-0.00203570025,-0.00206234146,-0.00208895605,-0.00208895605,-0.00208895605,-0.00208919445,-0.00209014716,-0.00209163726,0.000940621727,0.0010965437
4.84159722,-0.00104552449,-0.00104552449,-0.00104552449,-0.00104552449,-0.00103236321,-0.00103236321,-0.00103758792,-0.00103578419,-0.001029453,-0.001029453,-0.00103674455,-0.00103706981,-0.0010270681,-0.00102697893,-0.00102697893,-0.00102697893,-0.00102711195,-0.0010270681,-0.00105422506,-0.00105417721,-0.00105414045,-0.00104868325,-0.00105421742,-0.00108166459,-0.00104201794,-0.00104211502,-0.00104201794,-0.00104250935,-0.00104227909,-0.00104174916,-0.00208192889,-0.00208192889,-0.00208192889,-0.00208192889,-0.00212323888,-0.00212323888,-0.00211828978,-0.00211972128,-0.00212735068,-0.00212735068,-0.00211894539,-0.00211864838,-0.0020840687,-0.0020841263,-0.0020841263,-0.0020841263,-0.0020840677,-0.0020840687,-0.00203069056,-0.00203086846,-0.00203092896,-0.0019999665,-0.00203074916,-0.00204332505,-0.0020764989,-0.0020764403,-0.0020764989,-0.0020766191,-0.0020779284,-0.0020794185,0.00095128325,0.00109789769
4.85826389,-0.00103139805,-0.00103139805,-0.00103139805,-0.00103139805,-0.00101745965,-0.00101745965,-0.0010232696,-0.00102128717,-0.00101410391,-0.00101410391,-0.0010223453,-0.0010227023,-0.00100663555,-0.00100523454,-0.00100523454,-0.00100523454,-0.00100531239,-0.00100663555,-0.00103273948,-0.00103269659,-0.00103266371,-0.00102519065,-0.00103273256,-0.00105888759,-0.00102394431,-0.00102403267,-0.00102394431,-0.00102449877,-0.00102337063,-0.00102283716,-0.00206756662,-0.00206756662,-0.00206756662,-0.00206756662,-0.00210792396,-0.00210792396,-0.00210339198,-0.00210464467,-0.00211191746,-0.00211191746,-0.00210392937,-0.00210374958,-0.00207161082,-0.00207184922,-0.00207184922,-0.00207184922,-0.00207184823,-0.00207161082,-0.00202645551,-0.00202657481,-0.00202663431,-0.00198857568,-0.00202645551,-0.00202526017,-0.00206386321,-0.00206380361,-0.00206386321,-0.0020638642,-0.00206571002,-0.00206719913,0.000963385035,0.00109781355
4.87493056,-0.00101615971,-0.00101615971,-0.00101615971,-0.00101615971,-0.00100271841,-0.00100271841,-0.00100897022,-0.00100685768,-0.00099900205,-0.00099900205,-0.00100798759,-0.00100836761,-0.000987109582,-0.000984544836,-0.000984544836,-0.000984544836,-0.000984567122,-0.000987109582,-0.00101129978,-0.0010112628,-0.00101123451,-0.00100202879,-0.00101129372,-0.00103577737,-0.00100579566,-0.00100586723,-0.00100579566,-0.00100637867,-0.00100464512,-0.00100411261,-0.00205272738,-0.00205272738,-0.00205272738,-0.00205272738,-0.00209171573,-0.00209171573,-0.00208766055,-0.00208879315,-0.00209559003,-0.00209559003,-0.00208813754,-0.00208795855,-0.00205891724,-0.00205939315,-0.00205939315,-0.00205939315,-0.00205939215,-0.00205891724,-0.0020226985,-0.0020227581,-0.00202281869,-0.00197879374,-0.0020226985,-0.00200826923,-0.00205110904,-0.00205098984,-0.00205110904,-0.00205098984,-0.00205349026,-0.00205498036,0.000972491862,0.00109658798
4.89159722,-0.000999698078,-0.000999698078,-0.000999698078,-0.000999698078,-0.000988073319,-0.000988073319,-0.00099461707,-0.00099242481,-0.000984087203,-0.000984087203,-0.000993599524,-0.000993993525,-0.000968546425,-0.000965020367,-0.000965020367,-0.000965020367,-0.000964989779,-0.000968546425,-0.000989974698,-0.000989944387,-0.000989921302,-0.000979291801,-0.000989969618,-0.00101244826,-0.000987588557,-0.000987636267,-0.000987588557,-0.000988165591,-0.000986120056,-0.000985592274,-0.00203752948,-0.00203752948,-0.00203752948,-0.00203752948,-0.00207473176,-0.00207473176,-0.00207121306,-0.00207210716,-0.00207836766,-0.00207836766,-0.00207162927,-0.00207145146,-0.0020461025,-0.0020466986,-0.0020466986,-0.0020466986,-0.0020466986,-0.0020461025,-0.00201918197,-0.00201924157,-0.00201930117,-0.00197044324,-0.00201918197,-0.00199229148,-0.0020381751,-0.0020380569,-0.0020381751,-0.00203793769,-0.0020412129,-0.0020427031,0.000979843217,0.00109428046
4.90826389,-0.000981992455,-0.000981992455,-0.000981992455,-0.000981992455,-0.000973461405,-0.000973461405,-0.000980144087,-0.000977923142,-0.000969300205,-0.000969300205,-0.000979115272,-0.000979514108,-0.000950953196,-0.000946708244,-0.000946708244,-0.000946708244,-0.000946630236,-0.000950953196,-0.000968832381,-0.000968809351,-0.000968791922,-0.000957065101,-0.000968828376,-0.000989018059,-0.000969348571,-0.000969366708,-0.000969348571,-0.000969887211,-0.000967809591,-0.000967289285,-0.00202209227,-0.00202209227,-0.00202209227,-0.00202209227,-0.00205703046,-0.00205703046,-0.00205416649,-0.00205482417,-0.00206036935,-0.00206036935,-0.00205440687,-0.00205434519,-0.00203304958,-0.00203376488,-0.00203376488,-0.00203376488,-0.00203376389,-0.00203304958,-0.00201578334,-0.00201584285,-0.00201584383,-0.0019634037,-0.00201578334,-0.00197744432,-0.00202506258,-0.00202494338,-0.00202506258,-0.00202476458,-0.00202893293,-0.00203036442,0.00098842626,0.00109106914
4.92493056,-0.000963107684,-0.000963107684,-0.000963107684,-0.000963107684,-0.000958823502,-0.000958823502,-0.000965492461,-0.000963293372,-0.000954583559,-0.000954583559,-0.00096447576,-0.000964870377,-0.000934288033,-0.000929591021,-0.000929591021,-0.000929591021,-0.000929473369,-0.000934288033,-0.000947938626,-0.000947923303,-0.000947911849,-0.000935423536,-0.000947935766,-0.000965605111,-0.000951106657,-0.000951091124,-0.000951106657,-0.000951578454,-0.000949722177,-0.000949210914,-0.00200659536,-0.00200659536,-0.00200659536,-0.00200659536,-0.00203873518,-0.00203873518,-0.0020364672,-0.00203694499,-0.00204171647,-0.00204171647,-0.0020367055,-0.0020365865,-0.00201975903,-0.00202053383,-0.00202053383,-0.00202053383,-0.00202053383,-0.00201975903,-0.0020122677,-0.0020122677,-0.0020122677,-0.00195749895,-0.0020122677,-0.00196373063,-0.00201177203,-0.00201165283,-0.00201177203,-0.00201141433,-0.00201653635,-0.00201802655,0.000998125516,0.00109106046
4.94159722,-0.000943187117,-0.000943187117,-0.000943187117,-0.000943187117,-0.000944105707,-0.000944105707,-0.000950612008,-0.000948483707,-0.000939882885,-0.000939882885,-0.000949630014,-0.000950011656,-0.000918466244,-0.000913592532,-0.000913592532,-0.000913592532,-0.000913444786,-0.000918466244,-0.00092735588,-0.000927348502,-0.000927343199,-0.000914430579,-0.000927354205,-0.000942326259,-0.000932898616,-0.000932847092,-0.000932898616,-0.000933280581,-0.00093186244,-0.000931360531,-0.00199109848,-0.00199109848,-0.00199109848,-0.00199109848,-0.00201996105,-0.00201996105,-0.00201834975,-0.00201864785,-0.00202258565,-0.00202258565,-0.00201846885,-0.00201840935,-0.00200622999,-0.00200700489,-0.00200700489,-0.00200700489,-0.00200700489,-0.00200622999,-0.00200839547,-0.00200833597,-0.00200833597,-0.00195254896,-0.00200839547,-0.0019510311,-0.00199836119,-0.00199818339,-0.00199836119,-0.00199788539,-0.0020040207,-0.0020055108,0.00100870484,0.00109356011
4.95826389,-0.00092244012,-0.00092244012,-0.00092244012,-0.00092244012,-0.000929260342,-0.000929260342,-0.000935461977,-0.000933450742,-0.000925147947,-0.000925147947,-0.000934536014,-0.000934896403,-0.000903367715,-0.000898585801,-0.000898585801,-0.000898585801,-0.000898418665,-0.000903367715,-0.00090714212,-0.000907142739,-0.00090714362,-0.000894137542,-0.000907141642,-0.000919294659,-0.00091476366,-0.000914675663,-0.00091476366,-0.00091503937,-0.000914231992,-0.00091373857,-0.00197571888,-0.00197571888,-0.00197571888,-0.00197571888,-0.00200082909,-0.00200082909,-0.00199993213,-0.00199993312,-0.00200303558,-0.00200303558,-0.00199993213,-0.00199993213,-0.00199246185,-0.00199317705,-0.00199317705,-0.00199317705,-0.00199317804,-0.00199246185,-0.00200398659,-0.00200392798,-0.00200392699,-0.00194837341,-0.00200398659,-0.00193940277,-0.00198471325,-0.00198453435,-0.00198471325,-0.00198417675,-0.00199144361,-0.00199293371,0.00102010811,0.00109684495
4.97493056,-0.000901125228,-0.000901125228,-0.000901125228,-0.000901125228,-0.000914246516,-0.000914246516,-0.000920011385,-0.000918159869,-0.000910333316,-0.000910333316,-0.000919161059,-0.000919492576,-0.000888844856,-0.000884402307,-0.000884402307,-0.000884402307,-0.000884226994,-0.000888844856,-0.000887349588,-0.000887358073,-0.000887365027,-0.000874582809,-0.000887350291,-0.00089661751,-0.00089674162,-0.000896618485,-0.00089674162,-0.000896901878,-0.000896829338,-0.000896342529,-0.00196051898,-0.00196051898,-0.00196051898,-0.00196051898,-0.00198145905,-0.00198145905,-0.00198121767,-0.00198103987,-0.00198318954,-0.00198318954,-0.00198109847,-0.00198115807,-0.00197845601,-0.001979053,-0.001979053,-0.001979053,-0.00197911161,-0.00197845601,-0.00199892325,-0.00199886365,-0.00199880504,-0.0019447356,-0.00199892325,-0.00192867121,-0.00197094481,-0.00197076601,-0.00197094481,-0.00197034871,-0.00197874805,-0.00198023815,0.0010320537,0.00111157367
4.99159722,-0.000879532028,-0.000879532028,-0.000879532028,-0.000879532028,-0.000899030784,-0.000899030784,-0.000904239388,-0.00090258576,-0.000895399169,-0.000895399169,-0.000903482194,-0.000903778028,-0.000874732637,-0.000870844024,-0.000870844024,-0.000870844024,-0.00087067161,-0.000874732637,-0.000868023869,-0.000868039915,-0.000868052701,-0.000855791564,-0.000868025714,-0.000874394172,-0.000878871301,-0.000878716053,-0.000878871301,-0.000878914331,-0.000879650718,-0.000879167905,-0.00194555748,-0.00194555748,-0.00194555748,-0.00194555748,-0.00196202735,-0.00196202735,-0.00196238285,-0.00196202635,-0.00196328204,-0.00196328204,-0.00196220415,-0.00196226385,-0.00196421178,-0.00196468958,-0.00196468958,-0.00196468958,-0.00196474819,-0.00196421178,-0.00199302645,-0.00199290825,-0.00199284865,-0.00194145548,-0.00199302645,-0.00191883262,-0.00195699859,-0.00195676019,-0.00195699859,-0.00195634289,-0.0019658747,-0.0019673649,0.00104443845,0.00112500258
5.00826389,-0.000857960879,-0.000857960879,-0.000857960879,-0.000857960879,-0.000883587229,-0.000883587229,-0.000888135027,-0.000886712221,-0.000880311559,-0.000880311559,-0.000887486008,-0.000887740289,-0.000860857554,-0.000857694907,-0.000857694907,-0.000857694907,-0.000857535732,-0.000860857554,-0.000849202824,-0.000849225963,-0.000849244211,-0.000837775477,-0.000849205743,-0.000852714216,-0.000861187693,-0.000861004847,-0.000861187693,-0.000861118882,-0.000862689661,-0.000862207788,-0.00193089322,-0.00193089322,-0.00193089322,-0.00193089322,-0.00194253589,-0.00194253589,-0.00194348752,-0.0019429521,-0.00194331366,-0.00194331366,-0.00194324912,-0.0019433097,-0.00194978782,-0.0019500869,-0.0019500869,-0.0019500869,-0.0019500869,-0.00194978782,-0.00198617566,-0.00198605647,-0.00198599686,-0.00193817804,-0.00198611705,-0.00190976939,-0.00194287174,-0.00194263433,-0.00194287174,-0.00194221703,-0.00195282178,-0.00195431188,0.00105535249,0.00113697284
5.02493056,-0.00083670467,-0.00083670467,-0.00083670467,-0.00083670467,-0.000867897863,-0.000867897863,-0.000871697242,-0.00087053235,-0.000865043028,-0.000865043028,-0.000871168709,-0.000871376618,-0.00084704865,-0.00084473481,-0.00084473481,-0.00084473481,-0.000844597947,-0.00084704865,-0.000830916102,-0.000830945719,-0.000830968946,-0.000820533094,-0.000830920008,-0.000831656151,-0.000843721656,-0.000843516941,-0.000843721656,-0.000843552878,-0.000845938549,-0.00084545442,-0.0019165277,-0.0019165277,-0.0019165277,-0.0019165277,-0.00192316476,-0.00192316476,-0.00192465287,-0.00192399717,-0.00192352435,-0.00192352435,-0.00192435487,-0.00192447407,-0.00193506679,-0.00193524658,-0.00193524658,-0.00193524658,-0.00193530519,-0.00193506679,-0.00197819476,-0.00197807546,-0.00197801487,-0.0019348413,-0.00197819376,-0.00190136237,-0.00192856889,-0.0019283891,-0.00192856889,-0.0019279122,-0.00193965033,-0.00194108093,0.00105295563,0.00114727866
5.04159722,-0.000816030871,-0.000816030871,-0.000816030871,-0.000816030871,-0.000851952611,-0.000851952611,-0.000854934437,-0.000854048235,-0.000849572833,-0.000849572833,-0.000854535757,-0.000854693611,-0.00083314624,-0.000831751252,-0.000831751252,-0.000831751252,-0.000831644075,-0.00083314624,-0.000813184662,-0.00081322001,-0.000813247634,-0.000804050281,-0.000813189445,-0.000811286215,-0.000826498261,-0.00082627829,-0.000826498261,-0.000826246864,-0.000829389135,-0.000828899711,-0.00190240069,-0.00190240069,-0.00190240069,-0.00190240069,-0.00190403105,-0.00190403105,-0.00190605455,-0.00190522115,-0.00190391384,-0.00190391384,-0.00190563835,-0.00190581715,-0.00192022648,-0.00192022648,-0.00192022648,-0.00192022648,-0.00192028608,-0.00192022648,-0.00196913892,-0.00196901972,-0.00196890052,-0.00193114687,-0.00196908032,-0.00189343304,-0.00191414488,-0.00191390638,-0.00191414488,-0.00191348918,-0.00192624059,-0.00192767109,0.0010511026,0.00115595426
5.05826389,-0.000796168413,-0.000796168413,-0.000796168413,-0.000796168413,-0.000835749771,-0.000835749771,-0.000837864491,-0.000837271125,-0.000833887661,-0.000833887661,-0.000837601947,-0.000837707253,-0.000819012377,-0.000818552946,-0.000818552946,-0.000818552946,-0.000818480816,-0.000819012377,-0.000796021056,-0.00079606128,-0.000796092635,-0.000788301505,-0.000796026592,-0.000791658056,-0.000809538504,-0.000809310422,-0.000809538504,-0.000809226058,-0.000813035711,-0.000812538362,-0.00188857095,-0.00188857095,-0.00188857095,-0.00188857095,-0.00188519422,-0.00188519422,-0.00188763604,-0.00188674194,-0.0018846588,-0.0018846588,-0.00188721884,-0.00188739764,-0.00190526519,-0.00190508728,-0.00190508728,-0.00190508728,-0.00190514599,-0.00190526519,-0.0019588319,-0.00195865408,-0.0019585935,-0.00192691779,-0.00195877329,-0.00188586205,-0.00189960072,-0.00189936232,-0.00189960072,-0.00189894512,-0.00191265016,-0.00191408076,0.00104944444,0.00116281084
5.07493056,-0.000777292843,-0.000777292843,-0.000777292843,-0.000777292843,-0.000819295241,-0.000819295241,-0.000820513536,-0.000820220358,-0.000817981142,-0.000817981142,-0.000820390257,-0.000820441741,-0.000804535466,-0.000804977276,-0.000804977276,-0.000804977276,-0.000804943347,-0.000804535466,-0.000779428733,-0.000779472889,-0.000779507242,-0.000773250125,-0.000779434881,-0.000772811482,-0.000792855369,-0.000792626491,-0.000792855369,-0.000792506263,-0.000796872327,-0.000796365051,-0.00187492072,-0.00187492072,-0.00187492072,-0.00187492072,-0.00186677479,-0.00186677479,-0.0018695742,-0.00186856189,-0.00186582208,-0.00186582208,-0.00186909829,-0.00186927719,-0.00189018548,-0.00188982887,-0.00188982887,-0.00188982887,-0.00188988847,-0.00189018548,-0.00194727377,-0.00194709596,-0.00194703537,-0.00192191505,-0.00194721516,-0.00187853079,-0.00188487969,-0.00188464129,-0.00188487969,-0.00188422399,-0.00189888281,-0.00190025471,0.00104747954,0.00116784504
5.09159722,-0.000759513973,-0.000759513973,-0.000759513973,-0.000759513973,-0.000802601032,-0.000802601032,-0.000802913998,-0.000802921558,-0.000801852639,-0.000801852639,-0.000802929962,-0.000802927568,-0.000789632065,-0.000790894756,-0.000790894756,-0.000790894756,-0.000790899923,-0.000789632065,-0.000763400926,-0.000763448007,-0.000763484577,-0.000758848287,-0.000763407538,-0.000754770931,-0.000776449753,-0.000776227185,-0.000776449753,-0.000776089589,-0.000780887071,-0.000780368592,-0.00186138969,-0.00186138969,-0.00186138969,-0.00186138969,-0.00184883116,-0.00184883116,-0.00185192956,-0.00185085666,-0.00184752185,-0.00184752185,-0.00185145276,-0.00185163156,-0.00187498758,-0.00187457038,-0.00187457038,-0.00187457038,-0.00187457038,-0.00187498758,-0.00193446499,-0.00193428619,-0.00193416699,-0.00191607685,-0.00193440539,-0.00187131774,-0.00187009798,-0.00186985958,-0.00187009798,-0.00186944238,-0.00188487699,-0.00188624789,0.00104566922,0.00117106407
5.10826389,-0.000742870821,-0.000742870821,-0.000742870821,-0.000742870821,-0.000785684198,-0.000785684198,-0.000785103071,-0.000785405258,-0.000785506467,-0.000785506467,-0.000785255177,-0.000785200042,-0.000774247917,-0.000776212302,-0.000776212302,-0.000776212302,-0.000776255271,-0.000774247917,-0.000747920473,-0.000747969431,-0.000748007406,-0.000745037739,-0.000747927392,-0.000737545016,-0.000760309795,-0.000760100045,-0.000760309796,-0.000759963646,-0.000765060606,-0.0007645303,-0.00184791857,-0.00184791857,-0.00184791857,-0.00184791857,-0.00183142389,-0.00183142389,-0.0018347012,-0.0018336283,-0.00182975598,-0.00182975598,-0.00183422431,-0.00183440419,-0.00185978778,-0.00185925138,-0.00185925138,-0.00185925138,-0.00185925237,-0.00185978778,-0.00192040272,-0.00192028253,-0.00192016432,-0.00190910785,-0.00192040272,-0.00186398715,-0.00185513769,-0.00185489919,-0.00185513769,-0.00185454159,-0.00187063193,-0.00187200283,0.00104424951,0.00117248224
