time_s,accepted_steps,residual_evaluations,error_test_failures
1.13,50180,84276,3800
1.14,50668,85269,3873
1.15,51217,86363,3970
1.16,51671,87129,4001
1.17,52100,87823,4024
1.18,52555,88621,4053
1.19,52998,89352,4075
1.2,53467,90140,4094
1.21,54025,90999,4118
1.22,54339,91519,4138
1.23,54796,92259,4170
1.24,55195,92950,4203
1.25,55588,93745,4288
1.26,56119,94541,4307
1.27,56565,95409,4382
1.28,57089,96368,4456
1.29,57487,96992,4475
1.3,57973,97809,4498
1.31,58501,98795,4570
1.32,58871,99410,4591
1.33,59402,100334,4634
1.34,59893,101102,4661
1.35,60397,101940,4692
1.36,60975,102953,4734
1.37,61444,103703,4760
1.38,61854,104361,4780
1.39,62222,105006,4829
1.4,62644,105765,4889
1.41,63155,106664,4956
1.42,63513,107260,4981
1.43,63963,107979,5003
1.44,64466,108794,5026
1.45,64774,109315,5046
1.46,65323,110217,5074
1.47,65731,110902,5095
1.48,66143,111619,5155
1.49,66559,112452,5233
1.5,66983,113174,5262
1.51,67363,113812,5286
1.52,67812,114613,5309
1.53,68277,115348,5333
1.54,68742,116183,5366
1.55,69312,117235,5444
1.56,69715,117926,5480
1.57,70238,118921,5545
1.58,70726,119806,5611
1.59,71116,120436,5626
1.6,71533,121248,5683
1.61,71989,121947,5709
1.62,72422,122657,5730
1.63,72825,123291,5752
1.64,73270,124105,5816
1.65,73795,124979,5842
1.66,74234,125681,5870
1.67,74620,126267,5887
1.68,75065,126975,5909
1.69,75541,127966,6010
1.7,75921,128585,6038
1.71,76356,129303,6077
1.72,76733,129914,6089
1.73,77149,130623,6124
1.74,77638,131469,6157
1.75,77980,132049,6173
1.76,78514,132892,6199
1.77,78878,133503,6223
1.78,79337,134330,6278
1.79,79763,135042,6312
1.8,80244,135828,6341
1.81,80670,136550,6364
1.82,81164,137350,6378
1.83,81535,137966,6414
1.84,81952,138614,6441
1.85,82353,139277,6464
1.86,82815,140016,6490
1.87,83260,140819,6548
1.88,83720,141611,6565
1.89,84188,142400,6602
1.9,84732,143253,6653
1.91,85228,144206,6731
1.92,85684,144928,6745
1.93,86065,145520,6758
1.94,86586,146569,6857
1.95,87042,147361,6894
1.96,87483,148086,6928
1.97,87921,148860,6951
1.98,88433,149903,7036
1.99,88807,150643,7114
2,89225,151310,7138
2.01,89743,152121,7171
2.02,90175,152895,7212
2.03,90661,153655,7238
2.04,91159,154443,7268
2.05,91597,155142,7293
2.06,92039,155965,7360
2.07,92476,156765,7408
2.08,92996,157623,7451
2.09,93378,158259,7467
2.1,93934,159254,7517
2.11,94420,160128,7589
2.12,94855,160825,7617
2.13,95262,161476,7636
2.14,95636,162121,7660
2.15,96125,163057,7742
2.16,96549,163774,7763
2.17,97104,164723,7823
2.18,97448,165255,7843
2.19,97979,166193,7890
2.2,98285,166731,7911
2.21,98723,167424,7940
2.22,99018,167920,7961
2.23,99502,168729,7988
2.24,99918,169410,8010
2.25,100445,170593,8169
2.26,100861,171250,8189
2.27,101291,172010,8220
2.28,101646,172613,8257
2.29,102109,173397,8280
2.3,102497,174122,8337
2.31,102915,174899,8395
2.32,103326,175593,8411
2.33,103822,176495,8486
2.34,104201,177169,8510
2.35,104644,177902,8544
2.36,105069,178606,8566
2.37,105561,179387,8583
2.38,106033,180091,8605
2.39,106481,180819,8632
2.4,106946,181731,8714
2.41,107380,182481,8752
2.42,107866,183357,8815
2.43,108244,184013,8848
2.44,108724,184802,8872
2.45,109219,185595,8900
2.46,109702,186418,8929
2.47,110174,187208,8954
2.48,110486,187726,8969
2.49,111034,188612,9018
2.5,111516,189399,9055
2.51,111988,190295,9135
2.52,112480,191136,9193
2.53,112897,191799,9218
2.54,113327,192633,9295
2.55,113904,193854,9422
2.56,114306,194494,9442
2.57,114721,195141,9459
2.58,115104,195728,9470
2.59,115539,196387,9492
2.6,115913,196986,9513
2.61,116342,197700,9530
2.62,116705,198290,9542
2.63,117300,199454,9640
2.64,117651,200063,9666
2.65,118151,200957,9738
2.66,118541,201653,9761
2.67,119050,202813,9921
2.68,119442,203460,9940
2.69,119913,204218,9966
2.7,120241,204741,9986
2.71,120674,205521,10014
2.72,120976,206014,10029
2.73,121445,206784,10060
2.74,121924,207698,10091
2.75,122459,208602,10158
2.76,122949,209423,10185
2.77,123407,210184,10214
2.78,123794,210783,10237
2.79,124250,211601,10286
2.8,124677,212440,10351
2.81,125220,213341,10399
2.82,125611,214057,10444
2.83,126139,214892,10481
2.84,126612,215754,10541
2.85,127093,216523,10572
2.86,127552,217221,10593
2.87,128041,217966,10617
2.88,128436,218597,10644
2.89,128900,219374,10665
2.9,129323,220016,10686
2.91,129704,220676,10710
2.92,130125,221402,10736
2.93,130586,222148,10766
2.94,131020,222964,10821
2.95,131486,223791,10862
2.96,131980,224751,10947
2.97,132335,225292,10963
2.98,132725,225978,11004
2.99,133150,226675,11020
3,133682,227507,11043
