omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3,re_4,im_4,re_5,im_5
279.0486130921842,2.6563935010637048e-08,9.498327598266764e-07,3.4980321658979794e-08,9.468029931581707e-07,3.9116586306636044e-08,9.463301165621008e-07,3.9490322328419994e-08,9.469960859343941e-07,3.3399080652586204e-08,9.603645971115042e-07,1.9994679309513866e-07,1.441703940113974e-06
290.5225639974522,2.6738398001005672e-08,9.888331046752985e-07,3.510442659775267e-08,9.856727808370702e-07,3.9237701098805954e-08,9.851571664312257e-07,3.958512000543455e-08,9.858468385486938e-07,3.3655450736675874e-08,9.997767329903605e-07,2.0978072678470205e-07,1.4953195296915337e-06
302.46830205090794,2.6926398558081994e-08,1.0294347850582182e-06,3.523824635510926e-08,1.0261415500849546e-06,3.936798766284378e-08,1.0255809141938907e-06,3.9686620097382876e-08,1.0262946637648143e-06,3.393175331070309e-08,1.0408064924085393e-06,2.2006776426162045e-07,1.5507856505960006e-06
314.9052262472862,2.7129068408931456e-08,1.0717020113880152e-06,3.538272226711566e-08,1.0682735028254177e-06,3.9508380801157194e-08,1.0676652041954562e-06,3.9795559118973675e-08,1.0684032827370248e-06,3.4229633392425985e-08,1.0835185214992514e-06,2.3081978583615507e-07,1.6081556508127192e-06
327.85353323127407,2.7347227816439222e-08,1.1157041753066282e-06,3.553842038063992e-08,1.112138450367038e-06,3.965922233407093e-08,1.1114796790018912e-06,3.9912007305665735e-08,1.112242248371563e-06,3.455048563182551e-08,1.127982849566405e-06,2.420474226794006e-07,1.667487663157547e-06
341.33425009536967,2.758218091995532e-08,1.161511235474638e-06,3.570646038856112e-08,1.1578064005667303e-06,3.9821615936895656e-08,1.1570938866307308e-06,4.003683494214398e-08,1.1578809228911032e-06,3.489622530449947e-08,1.174269856778755e-06,2.5376067491772327e-07,1.7288380335699143e-06
355.3692685263229,2.78350095733e-08,1.2091972412330853e-06,3.588770937606363e-08,1.2053518317592647e-06,3.99962415143243e-08,1.2045819815174355e-06,4.017042225248438e-08,1.2053932871814267e-06,3.5268606261788916e-08,1.2224541821182591e-06,2.659676910209307e-07,1.792266879021476e-06
369.9813803556156,2.810677179996103e-08,1.2588388396783894e-06,3.608292287311395e-08,1.2548518022398375e-06,4.01836338319369e-08,1.2540205598438836e-06,4.0312972284464656e-08,1.2548556935383504e-06,3.566935119513647e-08,1.2726130138524868e-06,2.7867544934457106e-07,1.8578373289411554e-06
385.19431457170947,2.8399214262522034e-08,1.3105144970609484e-06,3.629381031241166e-08,1.3063849635347968e-06,4.038555604362359e-08,1.305487618665053e-06,4.0465990363102785e-08,1.306345800778134e-06,3.6101048723959406e-08,1.324825181246262e-06,2.918892550747949e-07,1.9256082509927466e-06
401.03277585416777,2.8713082204389183e-08,1.3643088869665748e-06,3.652069135026118e-08,1.360036987414331e-06,4.0601813357057136e-08,1.3590683769963857e-06,4.062881632577167e-08,1.3599484983061527e-06,3.6565190094534215e-08,1.379176097178524e-06,3.056121526874344e-07,1.995652769514433e-06
