omega,re_0,im_0,re_1,im_1,re_2,im_2,re_3,im_3
3533.294752055897,2.456313318438314e-07,1.2018314266123857e-05,2.459842811042466e-07,1.202159610585611e-05,1.003166342346829e-06,1.5429694196621344e-05,4.2204008865755886e-07,1.2037331909014907e-05
3678.577145935911,2.5001943849567334e-07,1.2509171191490518e-05,2.5041784160981395e-07,1.2512597558294252e-05,1.0414209779356191e-06,1.603911243500855e-05,4.2511992861333305e-07,1.2530381873564338e-05
3829.8332769232675,2.5451413688254363e-07,1.3020037244123601e-05,2.5496404454541754e-07,1.3023610643306129e-05,1.0812186529066298e-06,1.6672531965332633e-05,4.2837647583298416e-07,1.3043628769558706e-05
3987.3087737832443,2.5910965283753914e-07,1.35517357318573e-05,2.5961723389532003e-07,1.355545799011461e-05,1.122618746510627e-06,1.733089788344403e-05,4.318175946690985e-07,1.3577895290525991e-05
4151.259365071149,2.638013291958002e-07,1.4105124655121869e-05,2.6437275309063375e-07,1.4108996879378158e-05,1.1656831239531308e-06,1.8015192450333043e-05,4.354516009069505e-07,1.4134037447332269e-05
4321.95129441654,2.6858364624091055e-07,1.4681097641419737e-05,2.692249147774528e-07,1.4685120156372815e-05,1.2104757641119556e-06,1.8726436453149026e-05,4.3928644676625246e-07,1.4712945854996984e-05
4499.66175288319,2.734499444765669e-07,1.5280586509162146e-05,2.7416666918378965e-07,1.528475883697809e-05,1.2570628072351055e-06,1.9465691237258327e-05,4.4332992692455683e-07,1.531554766958091e-05
4684.679329106864,2.7839805701476563e-07,1.5904561530115228e-05,2.791953652633968e-07,1.590888248870812e-05,1.3055138241583687e-06,2.023405961876749e-05,4.4759096525787336e-07,1.59428075514186e-05
4877.304477941913,2.834241179102531e-07,1.6554034403311713e-05,2.8430641328096336e-07,1.655850215459342e-05,1.3559005418164154e-06,2.10326887429824e-05,4.52077843283211e-07,1.659573019430433e-05
5077.850008377724,2.885233238123429e-07,1.723005798487435e-05,2.894940767339868e-07,1.7234670125792654e-05,1.408297084241238e-06,2.1862770427745097e-05,4.56798212715829e-07,1.727536061528267e-05
5286.641591517374,2.936961576525958e-07,1.793372917406135e-05,2.9475785547094415e-07,1.7938482986016223e-05,1.4627814662504036e-06,2.272554330618057e-05,4.617615117494448e-07,1.7982786816129274e-05
5504.018289443407,2.9893971557216665e-07,1.8666188311078872e-05,3.000936633004082e-07,1.8671080887749313e-05,1.5194336553747164e-06,2.362229376314568e-05,4.669751365376347e-07,1.8719139640605836e-05
5730.333105829569,3.042531155489547e-07,1.9428623681095248e-05,3.054993886280116e-07,1.9433652183671196e-05,1.5783369883033986e-06,2.4554359599574092e-05,4.7244708342103015e-07,1.948559708182335e-05
5965.953559192664,3.0963461297941276e-07,2.0222268587783142e-05,3.1097202941532893e-07,2.0227430446421428e-05,1.6395774533186078e-06,2.552312862161032e-05,4.781834137470444e-07,2.0283382025269538e-05
6211.262279715393,3.1509038793694176e-07,2.104841991619808e-05,3.165166587828984e-07,2.105371322274582e-05,1.70324632876014e-06,2.6530053539479804e-05,4.841958797773925e-07,2.1113779199445007e-05
6466.657630609518,3.206216700962112e-07,2.1908411539322197e-05,3.2213343823785116e-07,2.191383511164656e-05,1.7694364333059528e-06,2.7576631623319655e-05,4.904907333395869e-07,2.197811159009418e-05
6732.554355028208,3.262236122043329e-07,2.2803639357397962e-05,3.2781635036299827e-07,2.2809192937065936e-05,1.8382424635636464e-06,2.866442464192382e-05,4.970714434076511e-07,2.2877762374482274e-05
7009.38424957824,3.319053312178516e-07,2.3735553961044932e-05,3.335739040909244e-07,2.3741238457474783e-05,1.909765891838406e-06,2.9795054886936266e-05,5.039476344507431e-07,2.3814170422806685e-05
7297.596865525738,3.3767242709979773e-07,2.470566612882862e-05,3.394111544524224e-07,2.471148370208132e-05,1.9841108589894e-06,3.097020871899119e-05,5.111270234966427e-07,2.4788834089690694e-05
7597.660238834169,3.435220681499886e-07,2.571554741393795e-05,3.453246996365856e-07,2.5721501483144744e-05,2.0613827254593784e-06,3.219163809196664e-05,5.186107588002169e-07,2.5803311735726734e-05
7910.061650220118,3.494636614363133e-07,2.6766832694847886e-05,3.513238993574513e-07,2.6772928000400893e-05,2.1416936634838893e-06,3.3461164994639333e-05,5.264065111014062e-07,2.6859226325186285e-05
8235.30841646112,3.5549777512427313e-07,2.786122568444135e-05,3.57409192388471e-07,2.7867468282014544e-05,2.22515744100916e-06,3.478068128185779e-05,5.345157591897997e-07,2.7958268081073774e-05
8573.92871424056,3.616317016063617e-07,2.900049507379878e-05,3.6358812120552926e-07,2.9006892203454142e-05,2.3118929794632147e-06,3.6152156364179236e-05,5.429421186681555e-07,2.9102194320545085e-05
8926.472437867556,3.6786637903350785e-07,3.0186487392818178e-05,3.698617891297117e-07,3.01930475162536e-05,2.4020220346112263e-06,3.7577633369323476e-05,5.516850844994388e-07,3.0292838145470814e-05
9293.512092264567,3.7420770014254504e-07,3.1421120258195034e-05,3.7623652663600664e-07,3.142785288106232e-05,2.4956713359568745e-06,3.9059238849581355e-05,5.60745348171951e-07,3.153210595889343e-05
9675.643722673107,3.806601486797873e-07,3.270639134152304e-05,3.8271729232956924e-07,3.271330694978721e-05,2.5929715081412736e-06,4.059918225013559e-05,5.70121357459161e-07,3.282198412124004e-05
10073.487882587067,3.8722371072611397e-07,3.404438000891679e-05,3.893044858462335e-07,3.405148996665813e-05,2.694056316223238e-06,4.219976019641028e-05,5.798075759518691e-07,3.4164540960941834e-05
10487.690641485688,3.93902657856522e-07,3.543724996186518e-05,3.9600293939877635e-07,3.5444566398457766e-05,2.7990650979659012e-06,4.386336005688517e-05,5.897999754935108e-07,3.5561930936958435e-05
10918.924634002584,4.0070814037141343e-07,3.688725517711831e-05,4.028245369287496e-07,3.6894790925500376e-05,2.9081437209088396e-06,4.559246451435887e-05,6.000982623177908e-07,3.701640027908408e-05
11367.890152234633,4.076354869794187e-07,3.839674322641064e-05,4.097649579520242e-07,3.840451175344682e-05,3.021438599956818e-06,4.7389654915064796e-05,6.106902510751127e-07,3.853028765752922e-05
11835.316282964517,4.146747718210859e-07,3.996814983932456e-05,4.1681452473201613e-07,3.9976165105677466e-05,3.139098963732316e-06,4.925760954185175e-05,6.215581694775238e-07,4.010602278451226e-05
12321.962091643712,4.218494276127168e-07,4.1604019583028135e-05,4.239976318625346e-07,4.1612296091259855e-05,3.2612891433112267e-06,5.1199116839263276e-05,6.327085698534307e-07,4.174614752984153e-05
12828.617855058625,4.2915041269115703e-07,4.330700514495555e-05,4.3130543011784135e-07,4.3315557850353355e-05,3.388169734234173e-06,5.321708262861154e-05,6.441243759650452e-07,4.345331039972981e-05
13356.106344681619,4.365806072749975e-07,4.5079857236172583e-05,4.3874123859333124e-07,4.508870152519717e-05,3.519909790451617e-06,5.531451531341161e-05,6.557964224824192e-07,4.523026102216587e-05
13905.284162791027,4.441389913020811e-07,4.692544412962219e-05,4.463043736750062e-07,4.69345957863537e-05,3.6566827889517778e-06,5.749454767120101e-05,6.677116632144112e-07,4.707986824405065e-05
14477.043133529785,4.5182399106741874e-07,4.884674842704503e-05,4.539935430866733e-07,4.8856223621596556e-05,3.7986681885806262e-06,5.976043445989723e-05,6.798574617621157e-07,4.9005116288002776e-05
15072.311751161988,4.5964117795357713e-07,5.0846895211913056e-05,4.6181467001866054e-07,5.0856710577016e-05,3.946054081579315e-06,6.211557357752621e-05,6.922295589940317e-07,5.100913417748774e-05
15692.056687878789,4.6758952664907377e-07,5.292911349675034e-05,4.6976694477490823e-07,5.2939286041108384e-05,4.099032532431583e-06,6.456347861405492e-05,7.048174192768638e-07,5.30951554293596e-05
16337.28436360253,4.7565787888086073e-07,5.5096772822489064e-05,4.778392573562314e-07,5.510731997593005e-05,4.257798123505887e-06,6.710780798853473e-05,7.175992070962659e-07,5.526655728574815e-05
