omega,re_Hmin_0,im_Hmin_0,re_Hmin_1,im_Hmin_1,re_Hmin_2,im_Hmin_2
9.7315018234664615e+02,9.93096276809969369e-01,-5.44680138758607546e-03,9.67798570405669190e-01,-9.36178062952139345e-02,9.92221830680847128e-01,-4.79268401333915461e-03
1.0427492072799280e+03,9.92917950244841085e-01,-5.73624561187519033e-03,9.65450692237117325e-01,-9.89140456375732224e-02,9.92022425148403553e-01,-5.02164728719090014e-03
1.1173259061216529e+03,9.92725526105415534e-01,-6.03303953063094589e-03,9.62916963323004582e-01,-1.04474933841303019e-01,9.91807384647651835e-01,-5.25200965159039468e-03
1.1972362786514534e+03,9.92519110261046555e-01,-6.33655638342950356e-03,9.60183399611911348e-01,-1.10309910149404555e-01,9.91576861511074936e-01,-5.48257290603176850e-03
1.2828617855058624e+03,9.92299123843290887e-01,-6.64628377335674259e-03,9.57235226437523457e-01,-1.16428480000444146e-01,9.91331352680096423e-01,-5.71222879272198503e-03
1.3746111691211165e+03,9.92066028010704981e-01,-6.96180354286340952e-03,9.54056460554218000e-01,-1.22839985498433557e-01,9.91071426111993281e-01,-5.93994349492760199e-03
1.4729224049085135e+03,9.91820459524931586e-01,-7.28289052331154707e-03,9.50630039823456285e-01,-1.29553667338534573e-01,9.90797852773856347e-01,-6.16486024688039924e-03
1.5782647919764743e+03,9.91563224198098281e-01,-7.60954170865413282e-03,9.46937776826621391e-01,-1.36578594099570627e-01,9.90511595670480416e-01,-6.38633171088037743e-03
1.6911411933796066e+03,9.91295167789490783e-01,-7.94200799204985985e-03,9.42960160895257915e-01,-1.43923537428841231e-01,9.90213675828655160e-01,-6.60395343071618068e-03
1.8120904365888139e+03,9.91017022414939497e-01,-8.28079013558707944e-03,9.38676147664325278e-01,-1.51596789754249672e-01,9.89905012839749743e-01,-6.81755974947184651e-03
1.9416898856413561e+03,9.90729576588279648e-01,-8.62668373419639423e-03,9.34063349145811905e-01,-1.59606182277291231e-01,9.89586585637145633e-01,-7.02726552802168669e-03
2.0805581972493128e+03,9.90433456113795074e-01,-8.98073756035105975e-03,9.29097744156426097e-01,-1.67958821287631621e-01,9.89259207950593522e-01,-7.23341952796108245e-03
2.2293582740229917e+03,9.90129104809065352e-01,-9.34421541167890224e-03,9.23753640018896149e-01,-1.76660907904025055e-01,9.88923502914784369e-01,-7.43655855761832241e-03
2.3888004289068249e+03,9.89816793638490955e-01,-9.71855788130771003e-03,9.18003659578784381e-01,-1.85717556216872304e-01,9.88579907745873676e-01,-7.63735932961800978e-03
2.5596457759335367e+03,9.89496569362570133e-01,-1.01053408905305564e-02,9.11818650841698330e-01,-1.95132552591727182e-01,9.88228621000456608e-01,-7.83658582596824527e-03
2.7427098634826762e+03,9.89168722379422438e-01,-1.05063155118541030e-02,9.05168162300382440e-01,-2.04908456515946302e-01,9.87870067019165132e-01,-8.03511488298075394e-03
2.9388665673872893e+03,9.88833590987294619e-01,-1.09233713788211007e-02,8.98020147553624692e-01,-2.15046240463386995e-01,9.87504705848388120e-01,-8.23388783447087658e-03
3.1490522624728596e+03,9.88489597256933306e-01,-1.13578179550473668e-02,8.90338969808502245e-01,-2.25543161117655655e-01,9.87131092478760186e-01,-8.43319309232959391e-03
3.3742702924418300e+03,9.88131792727407143e-01,-1.18110161672632108e-02,8.82083261315198208e-01,-2.36392606746003098e-01,9.86744443733930998e-01,-8.63328467611890193e-03
3.6155957594411634e+03,9.87765538898885520e-01,-1.22845206471782209e-02,8.73222631451075260e-01,-2.47590300123960910e-01,9.86350206900884707e-01,-8.83448628296529259e-03
3.8741806561764306e+03,9.87389845167178537e-01,-1.27796532778909899e-02,8.63717285113037025e-01,-2.59125777014370395e-01,9.85947555548150611e-01,-9.03679508204918713e-03
4.1512593650711415e+03,9.86997458801197269e-01,-1.32974000676903403e-02,8.53518947909163606e-01,-2.70981543644163658e-01,9.85529490390493645e-01,-9.23978719841112017e-03
4.4481545507221354e+03,9.86595835022397782e-01,-1.38389513642428880e-02,8.42595086535165128e-01,-2.83143710449442310e-01,9.85103629057952568e-01,-9.44308386207914907e-03
4.7662834737792873e+03,9.86179226639201323e-01,-1.44052987130373206e-02,8.30896819051397340e-01,-2.95587280203619629e-01,9.84664557332759260e-01,-9.64603914446197572e-03
5.1071647563894658e+03,9.85744700414985298e-01,-1.49975574645874188e-02,8.18377816348819453e-01,-3.08283844144555397e-01,9.84209707827385816e-01,-9.84801234508564383e-03
5.4724256315004277e+03,9.85297351130046684e-01,-1.56168045588721549e-02,8.05000062237952618e-01,-3.21203958201513040e-01,9.83744529665395606e-01,-1.00481770236215406e-02
5.8638097106298064e+03,9.84833402683011006e-01,-1.62642536015048522e-02,7.90715625227379038e-01,-3.34307878759931731e-01,9.83265751482975459e-01,-1.02457673536189287e-02
6.2831853071795786e+03,9.84353119570972934e-01,-1.69411811668975787e-02,7.75481369125475828e-01,-3.47551868664904506e-01,9.82774176393034882e-01,-1.04399470337426803e-02
6.7325543550281964e+03,9.83855842846489415e-01,-1.76490146082934340e-02,7.59254073899961357e-01,-3.60885193097719381e-01,9.82269768130718535e-01,-1.06299152794342988e-02
7.2140619649742330e+03,9.83340370654618878e-01,-1.83892915803083867e-02,7.41991621569914495e-01,-3.74249831563922664e-01,9.81752032069088454e-01,-1.08148619405630808e-02
7.7300066646502428e+03,9.82805936260681801e-01,-1.91636219851918921e-02,7.23654764001393835e-01,-3.87580633933658547e-01,9.81220988861919441e-01,-1.09939179736249781e-02
8.2828513707880938e+03,9.82250735554097032e-01,-1.99738032743361771e-02,7.04206506810366673e-01,-4.00804228098794235e-01,9.80675723516643782e-01,-1.11662738170180686e-02
8.8752351462132119e+03,9.81674043381252304e-01,-2.08217727745848291e-02,6.83615071222713588e-01,-4.13839986480663780e-01,9.80116489818404490e-01,-1.13311091353888449e-02
9.5099857976907642e+03,9.81074285886146313e-01,-2.17096407723267742e-02,6.61853173004188777e-01,-4.26598711870375236e-01,9.79542811722988072e-01,-1.14876346993999581e-02
1.0190133374761108e+04,9.80455578465871058e-01,-2.26391330948023661e-02,6.38904943078534293e-01,-4.38986320809454211e-01,9.78959964545319861e-01,-1.16344674000585235e-02
1.0918924634002566e+04,9.79813811935430934e-01,-2.36133228293977093e-02,6.14754297624453439e-01,-4.50896444968698351e-01,9.78365226506222818e-01,-1.17714747924260732e-02
1.1699838537768232e+04,9.79147648255432212e-01,-2.46343846732963168e-02,5.89397445293572075e-01,-4.62215711763223791e-01,9.77758759471899275e-01,-1.18974501535679122e-02
1.2536602861381585e+04,9.78455681140387612e-01,-2.57045552438643909e-02,5.62841157895318189e-01,-4.72823263161203600e-01,9.77140820524312503e-01,-1.20110838536300335e-02
