t,Bus_2_Vm,Bus_3_Vm,GenClassical_genrou_2_1_speed,GenClassical_genrou_3_1_speed
5.5000000000000004e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000002384185700e+00
5.5416699999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000001192092800e+00
5.5833299999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000001192092800e+00
5.6250000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000001192092800e+00
5.6666700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000001192092800e+00
5.7083300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000007152557300e+00,1.0000001192092800e+00
5.7499999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000001192092800e+00
5.7916699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000000000000000e+00
5.8333299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000000000000000e+00
5.8750000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000000000000000e+00
5.9166700000000005e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000005960464400e+00,1.0000000000000000e+00
5.9583299999999995e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,9.9999994039535500e-01
5.9999999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,9.9999994039535500e-01
6.0416700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000004768371500e+00,9.9999994039535500e-01
6.0833300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,9.9999988079071001e-01
6.1250000000000004e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000003576278600e+00,9.9999988079071001e-01
6.1666699999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,9.9999988079071001e-01
6.2083299999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000002384185700e+00,9.9999982118606501e-01
6.2500000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,9.9999982118606501e-01
6.2916700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,9.9999982118606501e-01
6.3333300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,9.9999976158142001e-01
6.3749999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,9.9999976158142001e-01
6.4166699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999994039535500e-01,9.9999976158142001e-01
6.4583299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999988079071001e-01,9.9999976158142001e-01
6.5000000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999982118606501e-01,9.9999976158142001e-01
6.5416700000000005e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999976158142001e-01,9.9999976158142001e-01
6.5833299999999995e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999970197677601e-01,9.9999976158142001e-01
6.6249999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999964237213101e-01,9.9999976158142001e-01
6.6666700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999958276748602e-01,9.9999976158142001e-01
6.7083300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999952316284102e-01,9.9999976158142001e-01
6.7500000000000004e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999952316284102e-01,9.9999982118606501e-01
6.7916699999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,9.9999982118606501e-01
6.8333299999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,9.9999982118606501e-01
6.8750000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999982118606501e-01
6.9166700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,9.9999988079071001e-01
6.9583300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999988079071001e-01
6.9999999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999988079071001e-01
7.0416699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999994039535500e-01
7.0833299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999994039535500e-01
7.1250000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,9.9999994039535500e-01
7.1666700000000005e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,1.0000000000000000e+00
7.2083299999999995e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,1.0000000000000000e+00
7.2499999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999934434890703e-01,1.0000000000000000e+00
7.2916700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,1.0000001192092800e+00
7.3333300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999940395355202e-01,1.0000001192092800e+00
7.3750000000000004e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,1.0000001192092800e+00
7.4166699999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999946355819602e-01,1.0000001192092800e+00
7.4583299999999997e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999952316284102e-01,1.0000001192092800e+00
7.5000000000000000e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999958276748602e-01,1.0000001192092800e+00
7.5416700000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999958276748602e-01,1.0000002384185700e+00
7.5833300000000003e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999964237213101e-01,1.0000002384185700e+00
7.6249999999999996e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999970197677601e-01,1.0000002384185700e+00
7.6666699999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999976158142001e-01,1.0000002384185700e+00
7.7083299999999999e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999982118606501e-01,1.0000002384185700e+00
7.7500000000000002e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999988079071001e-01,1.0000002384185700e+00
7.7916700000000005e-01,1.0599961280822701e+00,9.6999824047088601e-01,9.9999994039535500e-01,1.0000002384185700e+00
7.8333299999999995e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,1.0000002384185700e+00
7.8749999999999998e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000000000000000e+00,1.0000002384185700e+00
7.9166700000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,1.0000002384185700e+00
7.9583300000000001e-01,1.0599961280822701e+00,9.6999824047088601e-01,1.0000001192092800e+00,1.0000002384185700e+00
