Time,Bus1_Vm,Bus2_Vm,Bus3_Vm,Gen1_Speed,Gen2_Speed
3.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
3.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000119e+00,1.000000000e+00
3.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
3.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
4.000000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
4.041670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
4.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
4.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,9.999999400e-01
4.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,9.999999400e-01
4.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,9.999999400e-01
4.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,9.999999400e-01
4.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
4.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
4.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
4.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
4.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
4.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
4.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.000000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.041670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.250000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998210e-01,9.999999400e-01
5.291670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
5.333330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
5.375000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,9.999999400e-01
5.416670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,1.000000000e+00
5.458330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,1.000000000e+00
5.500000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,1.000000000e+00
5.541670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999998810e-01,1.000000000e+00
5.583330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
5.625000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
5.666670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
5.708330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
5.750000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
5.791670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,9.999999400e-01,1.000000000e+00
5.833330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
5.875000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
5.916670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
5.958330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
6.000000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
6.041670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
6.083330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
6.125000000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
6.166670000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
6.208330000e-01,1.059999943e+00,1.059996843e+00,9.699990150e-01,1.000000000e+00,1.000000000e+00
