time_s,accepted_steps,residual_evaluations,error_test_failures
1.36,32520,57140,2143
1.37,32779,57606,2163
1.38,32997,57973,2177
1.39,33268,58431,2194
1.4,33493,58825,2216
1.41,33789,59352,2239
1.42,33967,59679,2252
1.43,34138,60001,2274
1.44,34343,60365,2289
1.45,34601,60793,2301
1.46,34982,61362,2319
1.47,35253,61852,2335
1.48,35541,62382,2356
1.49,35767,62804,2373
1.5,36069,63350,2380
1.51,36322,63809,2404
1.52,36542,64190,2410
1.53,36782,64634,2430
1.54,36988,65018,2447
1.55,37264,65486,2462
1.56,37505,65888,2479
1.57,37766,66323,2489
1.58,37999,66732,2499
1.59,38243,67149,2518
1.6,38519,67620,2536
1.61,38778,68076,2551
1.62,39054,68572,2560
1.63,39313,69008,2576
1.64,39550,69438,2585
1.65,39772,69835,2602
1.66,39979,70199,2609
1.67,40176,70523,2620
1.68,40428,70998,2633
1.69,40659,71412,2645
1.7,40834,71750,2655
1.71,41084,72212,2680
1.72,41349,72649,2692
1.73,41609,73090,2709
1.74,41812,73443,2724
1.75,42078,73904,2739
1.76,42308,74341,2761
1.77,42511,74694,2771
1.78,42781,75122,2785
1.79,43015,75540,2801
1.8,43212,75881,2813
1.81,43446,76289,2830
1.82,43670,76677,2850
1.83,43900,77081,2867
1.84,44116,77503,2888
1.85,44316,77886,2900
1.86,44581,78355,2916
1.87,44787,78717,2929
1.88,45017,79099,2942
1.89,45257,79520,2951
1.9,45512,79965,2968
1.91,45724,80354,2984
1.92,46009,80838,3004
1.93,46197,81164,3011
1.94,46437,81603,3034
1.95,46679,82007,3052
1.96,46903,82385,3060
1.97,47153,82813,3073
1.98,47425,83305,3094
1.99,47660,83683,3099
2,47890,84106,3119
2.01,48109,84499,3137
2.02,48345,84902,3162
2.03,48605,85344,3178
2.04,48877,85817,3192
2.05,49119,86268,3204
2.06,49319,86620,3217
2.07,49510,86960,3227
2.08,49783,87447,3247
2.09,49986,87801,3258
2.1,50391,88470,3273
2.11,50655,88923,3300
2.12,50905,89348,3310
2.13,51100,89703,3319
2.14,51384,90204,3341
2.15,51612,90623,3354
2.16,51855,91040,3364
2.17,52060,91376,3371
2.18,52313,91862,3393
2.19,52570,92295,3395
2.2,52818,92747,3408
2.21,53093,93277,3436
2.22,53292,93608,3446
2.23,53539,94058,3462
2.24,53762,94474,3486
2.25,53957,94801,3497
2.26,54154,95170,3511
2.27,54401,95593,3521
2.28,54656,96034,3541
2.29,54882,96433,3556
2.3,55123,96853,3567
2.31,55409,97334,3581
2.32,55663,97802,3594
2.33,55909,98231,3616
2.34,56127,98671,3630
2.35,56330,99044,3640
2.36,56640,99568,3661
2.37,57013,100142,3675
2.38,57240,100562,3698
2.39,57432,100934,3714
2.4,57682,101332,3727
2.41,57932,101740,3748
2.42,58192,102218,3761
2.43,58455,102668,3771
2.44,58696,103081,3794
2.45,58914,103473,3807
2.46,59201,103935,3820
2.47,59408,104308,3833
2.48,59644,104727,3854
2.49,59885,105135,3864
2.5,60122,105573,3882
2.51,60410,106068,3899
2.52,60689,106538,3912
2.53,60945,106981,3932
2.54,61160,107393,3943
2.55,61391,107795,3957
2.56,61654,108240,3977
2.57,61843,108588,3989
2.58,62070,108991,4006
2.59,62321,109431,4021
2.6,62598,109912,4041
2.61,62828,110327,4060
2.62,63109,110836,4079
2.63,63361,111266,4094
2.64,63573,111642,4110
2.65,63840,112128,4130
2.66,64056,112532,4141
2.67,64278,112919,4147
2.68,64523,113351,4166
2.69,64773,113780,4184
2.7,65008,114190,4190
2.71,65265,114650,4218
2.72,65508,115061,4226
2.73,65749,115478,4244
2.74,65995,115905,4258
2.75,66197,116269,4272
2.76,66451,116707,4290
2.77,66735,117202,4299
2.78,66938,117539,4310
2.79,67191,117984,4319
2.8,67443,118415,4344
2.81,67679,118840,4367
2.82,67943,119303,4382
2.83,68280,119860,4403
2.84,68658,120512,4414
2.85,68880,120893,4438
2.86,69113,121318,4458
2.87,69352,121750,4471
2.88,69569,122137,4482
2.89,69788,122540,4491
2.9,70094,123086,4520
2.91,70369,123570,4540
2.92,70562,123893,4547
2.93,70795,124308,4561
2.94,71039,124716,4568
2.95,71260,125137,4584
2.96,71496,125528,4597
2.97,71720,125932,4617
2.98,71975,126388,4638
2.99,72231,126836,4658
3,72480,127293,4677
