case,mu,cpu,trial_1_seconds,trial_2_seconds,trial_3_seconds,trial_4_seconds,trial_5_seconds,trial_6_seconds,trial_7_seconds,cpu_seconds,status,notes
ACTIVSg200,10,14,0.022355,0.020617,0.021764,0.02093,0.021622,0.020412,0.021022,0.021022,ok,
ACTIVSg200,11.9378,14,0.02299,0.022426,0.02719,0.023367,0.022398,0.023427,0.022547,0.02299,ok,
ACTIVSg200,14.251,14,0.02314,0.021283,0.021301,0.020679,0.020603,0.021009,0.020864,0.021009,ok,
ACTIVSg200,17.0125,14,0.021547,0.021645,0.021749,0.021471,0.021822,0.021653,0.022734,0.021653,ok,
ACTIVSg200,20.3092,14,0.025405,0.029693,0.024694,0.023597,0.023029,0.022852,0.022664,0.023597,ok,
ACTIVSg200,24.2446,14,0.022942,0.025148,0.022274,0.022151,0.022027,0.022745,0.023838,0.022745,ok,
ACTIVSg200,28.9427,14,0.022995,0.022252,0.022852,0.023026,0.023234,0.022862,0.022898,0.022898,ok,
ACTIVSg200,34.5511,14,0.023682,0.022491,0.023166,0.022869,0.022385,0.022924,0.022746,0.022869,ok,
ACTIVSg200,41.2463,14,0.024979,0.0233,0.022475,0.022927,0.023752,0.023467,0.023793,0.023467,ok,
ACTIVSg200,49.2388,14,0.026921,0.024887,0.025375,0.024051,0.024197,0.023908,0.023767,0.024197,ok,
ACTIVSg200,58.7802,14,0.02761,0.025334,0.024101,0.024183,0.023604,0.023151,0.024002,0.024101,ok,
ACTIVSg200,60,14,0.024603,0.024033,0.024285,0.024107,0.023865,0.023598,0.025423,0.024107,ok,
ACTIVSg200,70.1704,14,0.026288,0.024561,0.027077,0.024144,0.02424,0.024002,0.024194,0.02424,ok,
ACTIVSg200,83.7678,14,0.023905,0.024175,0.02849,0.024953,0.026439,0.026212,0.024688,0.024953,ok,
ACTIVSg200,100,14,0.029292,0.033268,0.030189,0.030924,0.030312,0.030306,0.030434,0.030312,ok,
ACTIVSg200,119.378,14,0.026136,0.026444,0.028387,0.034492,0.025841,0.026752,0.026124,0.026444,ok,
ACTIVSg200,142.51,14,0.028324,0.02877,0.027721,0.026464,0.025614,0.024291,0.024374,0.026464,ok,
ACTIVSg200,170.125,14,0.027117,0.027122,0.026856,0.029694,0.027091,0.027799,0.027304,0.027122,ok,
ACTIVSg200,203.092,14,0.027434,0.027999,0.028968,0.027212,0.028258,0.026214,0.027921,0.027921,ok,
ACTIVSg200,240,14,0.028055,0.027233,0.030691,0.029067,0.028866,0.028294,0.029778,0.028866,ok,
ACTIVSg200,242.446,14,0.028882,0.02719,0.025864,0.027365,0.026307,0.029034,0.027094,0.02719,ok,
ACTIVSg200,289.427,14,0.026418,0.025964,0.02631,0.030586,0.028183,0.027476,0.027012,0.027012,ok,
ACTIVSg200,345.511,14,0.027535,0.029193,0.02891,0.027788,0.0299,0.028957,0.026802,0.02891,ok,
ACTIVSg200,412.463,14,0.027815,0.02901,0.029192,0.028792,0.028021,0.028646,0.030133,0.028792,ok,
ACTIVSg200,492.388,14,0.030113,0.029061,0.029321,0.029693,0.030937,0.029913,0.034021,0.029913,ok,
ACTIVSg200,587.802,14,0.029471,0.02709,0.029681,0.029454,0.030277,0.028241,0.028803,0.029454,ok,
ACTIVSg200,701.704,14,0.028225,0.028168,0.030024,0.027367,0.029677,0.031461,0.030218,0.029677,ok,
ACTIVSg200,837.678,14,0.034429,0.032331,0.032388,0.033126,0.031993,0.035945,0.035033,0.033126,ok,
ACTIVSg200,1000,14,0.031292,0.034012,0.033264,0.031344,0.033658,0.033156,0.031218,0.033156,ok,
ACTIVSg200,1193.78,14,0.034972,0.03307,0.036305,0.034503,0.034213,0.033832,0.033195,0.034213,ok,
ACTIVSg200,1425.1,14,0.032312,0.032014,0.034811,0.031416,0.033395,0.03343,0.031814,0.032312,ok,
ACTIVSg200,1701.25,14,0.0299,0.030448,0.029786,0.029879,0.029772,0.036007,0.032455,0.0299,ok,
ACTIVSg200,2030.92,14,0.033481,0.03331,0.033633,0.034611,0.033388,0.032775,0.033082,0.033388,ok,
ACTIVSg200,2424.46,14,0.036032,0.035646,0.036022,0.036138,0.033951,0.03401,0.035918,0.035918,ok,
ACTIVSg200,2894.27,14,0.034903,0.033671,0.033994,0.037223,0.035522,0.034072,0.034783,0.034783,ok,
ACTIVSg200,3455.11,14,0.032769,0.033572,0.03356,0.032287,0.04039,0.034204,0.032415,0.03356,ok,
ACTIVSg200,4124.63,14,0.032817,0.035884,0.031474,0.032204,0.030593,0.032003,0.032721,0.032204,ok,
ACTIVSg200,4923.88,14,0.030818,0.029258,0.031392,0.030458,0.027811,0.031101,0.03162,0.030818,ok,
ACTIVSg200,5878.02,14,0.034427,0.034087,0.034486,0.035058,0.035808,0.033717,0.033773,0.034427,ok,
ACTIVSg200,7017.04,14,0.036917,0.031407,0.031989,0.033325,0.03215,0.031249,0.031927,0.031989,ok,
ACTIVSg200,8376.78,14,0.03092,0.030515,0.030929,0.030585,0.03018,0.030685,0.031486,0.030685,ok,
ACTIVSg200,10000,14,0.033936,0.034599,0.034985,0.034183,0.034419,0.033955,0.033698,0.034183,ok,
ACTIVSg2000,10,14,0.468599,0.471548,0.475872,0.430863,0.4244,0.434394,0.427815,0.434394,ok,
ACTIVSg2000,11.9378,14,0.409115,0.458795,0.448911,0.416256,0.426319,0.423915,0.423613,0.423915,ok,
ACTIVSg2000,14.251,14,0.434647,0.443327,0.448601,0.441124,0.435701,0.440368,0.444182,0.441124,ok,
ACTIVSg2000,17.0125,14,0.460664,0.450994,0.463041,0.458231,0.467013,0.461594,0.478156,0.461594,ok,
ACTIVSg2000,20.3092,14,0.507485,0.486128,0.525531,0.522477,0.509594,0.502339,0.493513,0.507485,ok,
ACTIVSg2000,24.2446,14,0.490001,0.501369,0.493923,0.496249,0.495687,0.467584,0.517467,0.495687,ok,
ACTIVSg2000,28.9427,14,0.664577,0.571241,0.62813,0.545049,0.552771,0.539061,0.49188,0.552771,ok,
