t,Bus_Bus_1_va,Bus_Bus_1_vb,Bus_Bus_1_vc,Bus_Bus_2_va,Bus_Bus_2_vb,Bus_Bus_2_vc,LineLumped_line_1_2_i12a,LineLumped_line_1_2_i12b,LineLumped_line_1_2_i12c
2.3000000000000000e-02,-2.0093939881080994e+05,2.7207937202462478e+05,-7.6297981776321103e+04,-1.8163482272459212e+05,2.7747711758263555e+05,-9.6876051269802309e+04,-4.0798787464083176e+02,5.4084369344741083e+02,-1.3662305161312477e+02
2.3500000000000000e-02,-2.3321567168593736e+05,2.5414425248950275e+05,-2.3587001579087661e+04,-2.1823197231101521e+05,2.6339645559966587e+05,-4.4893324621941705e+04,-4.6839800308945183e+02,5.0221217484679062e+02,-2.9746156404821456e+01
2.4000000000000000e-02,-2.5598849513429819e+05,2.3125862130134882e+05,3.1965904136200072e+04,-2.4800613969472097e+05,2.3847797183019124e+05,8.5681240620289627e+03,-5.1983765359772087e+02,4.4149335086915926e+02,7.9955396374716685e+01
2.4500000000000001e-02,-2.7802667533229041e+05,1.9024913990974650e+05,8.0880997046187462e+04,-2.6746718854743044e+05,2.0655137442165767e+05,6.1614962146956823e+04,-5.4767805757825181e+02,3.6463387702278692e+02,1.8545478422449690e+02
2.5000000000000001e-02,-2.8136782529881946e+05,1.5087073278735587e+05,1.3127908243021503e+05,-2.7859818973765842e+05,1.6695100133765960e+05,1.1293757179961891e+05,-5.5675018440650604e+02,2.8022905028584540e+02,2.8514108306984554e+02
2.5500000000000002e-02,-2.7803938189722458e+05,1.0538479575993714e+05,1.7761330120457555e+05,-2.7965477040279168e+05,1.2046535887090657e+05,1.5958986116343527e+05,-5.4921949928666595e+02,1.7912221967653144e+02,3.7500138484551206e+02
2.6000000000000002e-02,-2.6853017767959676e+05,4.9096368976689628e+04,2.1229755744051663e+05,-2.7020931394685223e+05,7.1314577927685110e+04,2.0108577265740713e+05,-5.1805175476585680e+02,7.5378625954085464e+01,4.4997387869758938e+02
2.6499999999999999e-02,-2.4255541482026241e+05,4.7332771655588596e+02,2.4558762985693934e+05,-2.5198183021280103e+05,1.8509372789595960e+04,2.3550980410154874e+05,-4.7113900899538584e+02,-2.9442777548791085e+01,5.1158656167409566e+02
2.7000000000000000e-02,-2.1265717536904593e+05,-5.3018733842784794e+04,2.6800876003757294e+05,-2.2441915514999503e+05,-3.5005557695751202e+04,2.6092346123051699e+05,-4.0752271297344635e+02,-1.3861421062746459e+02,5.5265146440404772e+02
2.7500000000000000e-02,-1.7604889627536145e+05,-1.0748569763328356e+05,2.7735014724735921e+05,-1.8876605692452448e+05,-8.6213343066380563e+04,2.7802894557418424e+05,-3.2772641786736642e+02,-2.3765628406112401e+02,5.7502833845304019e+02
2.8000000000000001e-02,-1.2814154571812743e+05,-1.5025507918178625e+05,2.8369498485641339e+05,-1.4684548408054010e+05,-1.3558449374836899e+05,2.8464545920929330e+05,-2.3811268919187134e+02,-3.2984555685303724e+02,5.7838563904834371e+02
