omega,re_0,im_0,re_1,im_1,re_2,im_2
934.7164123080624,3.128236157635543e-08,3.1437595767519655e-06,4.354941230351654e-08,3.1932679744237935e-06,6.661096038665913e-07,4.071618342410426e-06
973.1501823466471,3.17299152095082e-08,3.272797655211496e-06,4.4992555791017744e-08,3.32372406381475e-06,6.868758631042607e-07,4.2158877759980945e-06
1013.1642762780488,3.219807463309676e-08,3.4071194264410855e-06,4.6492394783412114e-08,3.45947443496324e-06,7.076184734282238e-07,4.365551894783724e-06
1054.8236740301722,3.268973522566025e-08,3.546947135794672e-06,4.8049705128360695e-08,3.6007380985754852e-06,7.283139204893415e-07,4.5207724754727115e-06
1098.196027382591,3.3203259481969386e-08,3.6925023277010353e-06,4.9661335262079427e-08,3.7477363520295257e-06,7.48921217765609e-07,4.681874642063458e-06
1143.3517698280332,3.373888184032618e-08,3.844020048811976e-06,5.1325263195218594e-08,3.9007029671117025e-06,7.69410309408439e-07,4.849132505274006e-06
1190.3642309511577,3.429665831653656e-08,4.0017450454806835e-06,5.303899898975861e-08,4.059881644810027e-06,7.897551661089088e-07,5.022834240866077e-06
1239.309755510381,3.487715164032593e-08,4.165934222207729e-06,5.480021739133708e-08,4.2255277033657995e-06,8.099440080339924e-07,5.203246419502411e-06
1290.2678274161112,3.547704845553062e-08,4.3368433617298745e-06,5.660288312499925e-08,4.397899880507662e-06,8.299159830652934e-07,5.390837388129517e-06
1343.321198806739,3.6098609791688856e-08,4.514756597538562e-06,5.8445587704882194e-08,4.577279537493413e-06,8.496899382001764e-07,5.585814589183834e-06
1398.5560244319877,3.6740381314143234e-08,4.6999584786884805e-06,6.032345764679438e-08,4.763952696155076e-06,8.692415800418546e-07,5.788572234747169e-06
1456.062001561853,3.7401439811987114e-08,4.892747294321337e-06,6.223190937269318e-08,4.958218939298513e-06,8.88556953313305e-07,5.999492188712563e-06
1515.9325156483283,3.808037285740715e-08,5.093432263518446e-06,6.416579808463453e-08,5.160389793114147e-06,9.076145072363498e-07,6.218999419976464e-06
1578.2647919764756,3.8779810018148494e-08,5.302349499530636e-06,6.612350643155268e-08,5.370799019899559e-06,9.264974899305521e-07,6.4472672535917065e-06
1643.1600535510916,3.949543434936921e-08,5.519825214305494e-06,6.809719333885986e-08,5.5897799165418265e-06,9.451181646118717e-07,6.684943614305706e-06
1710.7236854753774,4.02267383647571e-08,5.746213255212586e-06,7.008250572466127e-08,5.817688419016042e-06,9.635063807064228e-07,6.932404223239039e-06
1781.0654060885513,4.097468967967692e-08,5.981886048894555e-06,7.207647713629777e-08,6.054898206113202e-06,9.81734908099034e-07,7.18996876303385e-06
1854.299445140307,4.173571535743133e-08,6.227216690251134e-06,7.407216464104241e-08,6.30179029119185e-06,9.99704542607687e-07,7.458302081498991e-06
1930.5447292914844,4.251156060801883e-08,6.482609667179141e-06,7.606774532843812e-08,6.5587696868554916e-06,1.0175558987930703e-06,7.737662624192638e-06
2009.9250752421622,4.329990217236575e-08,6.748476871887318e-06,7.805785460584735e-08,6.8262553391522525e-06,1.0352477391752171e-06,8.0286497349474e-06
2092.569390800818,4.4100132554332547e-08,7.025250077614647e-06,8.00390347814055e-08,7.104683852751724e-06,1.052823151410116e-06,8.33173816155065e-06
2178.6118842210713,4.491250002844059e-08,7.3133781051160586e-06,8.200883726079593e-08,7.394509769677795e-06,1.070314329102023e-06,8.647444720331585e-06
2268.1922821459616,4.57356546482066e-08,7.613328374258494e-06,8.39638333842499e-08,7.696206581129485e-06,1.0877550004977394e-06,8.97630409605943e-06
2361.4560565136667,4.6569463910171257e-08,7.925587013575043e-06,8.590198236625732e-08,8.010266748612134e-06,1.1051821100940631e-06,9.318868408133866e-06
2458.5546607931824,4.74136079237763e-08,8.250662862629497e-06,8.78215020889072e-08,8.337205800441147e-06,1.12263503660073e-06,9.675710531249324e-06
2559.645775933539,4.826837628652614e-08,8.589084723683915e-06,8.97214609355706e-08,8.677559416426041e-06,1.140154697938915e-06,1.0047423427043013e-05
2664.893566426,4.9132440421868056e-08,8.94139496834978e-06,9.160010527731036e-08,9.031876959264501e-06,1.1577856769438862e-06,1.0434609625529354e-05
2774.4689468950514,5.0008262537189014e-08,9.308172452808779e-06,9.345908865294585e-08,9.400744559242609e-06,1.17557231404714e-06,1.0837909892015684e-05
2888.5498596510947,5.089263348399635e-08,9.69001247308292e-06,9.529570926366772e-08,9.784765049772267e-06,1.1935592586575749e-06,1.1257978567539728e-05
3007.32156365561,5.17877110077566e-08,1.008753191153107e-05,9.711222606323437e-08,1.018456258143454e-05,1.2117979340171498e-06,1.1695488577293093e-05
3130.976935367991,5.26952908293644e-08,1.0501379380845493e-05,9.891104061274873e-08,1.0600792963783842e-05,1.2303344524735168e-06,1.215115318356877e-05
3259.7167819626447,5.3613711834122845e-08,1.0932223429795674e-05,1.0069166138239992e-07,1.1034132870384547e-05,1.2492196451226972e-06,1.2625690221703748e-05
3393.75016742499,5.454429963113922e-08,1.1380764036709926e-05,1.0245665147734254e-07,1.148528969499939e-05,1.26850439032748e-06,1.3119857877774973e-05
3533.294752055897,5.548724751016664e-08,1.1847728975262856e-05,1.042078499353264e-07,1.1954998908662271e-05,1.2882401979238519e-06,1.3634439436638111e-05
3678.577145935911,5.644364223325263e-08,1.2333876513598807e-05,1.0594810323031086e-07,1.244402643689894e-05,1.3084794101043376e-06,1.4170247755576668e-05
3829.8332769232675,5.7413495480286245e-08,1.2839995823350942e-05,1.0767958452024432e-07,1.2953169159679607e-05,1.3292748134791186e-06,1.4728125947208099e-05
3987.3087737832443,5.839849630868482e-08,1.336690516312238e-05,1.0940613815125537e-07,1.348325293865223e-05,1.3506800116543927e-06,1.5308949150252165e-05
4151.259365071149,5.939782908195093e-08,1.3915461075168754e-05,1.1112965765516043e-07,1.4035142362699818e-05,1.3727484327808828e-06,1.591362742405331e-05
4321.95129441654,6.041316767930063e-08,1.4486556202358386e-05,1.1285422599854106e-07,1.4609737639205705e-05,1.3955363251585857e-06,1.65431032402609e-05
4499.66175288319,6.144474556103274e-08,1.5081112561709465e-05,1.1458307545446867e-07,1.5207968691559225e-05,1.4190970333300068e-06,1.719835971901109e-05
4684.679329106864,6.249252358859664e-08,1.570009436951982e-05,1.1631921267272122e-07,1.583080736993424e-05,1.4434882488940276e-06,1.7880411411982283e-05
4877.304477941913,6.35585346206003e-08,1.6344504344858267e-05,1.1806773424373056e-07,1.6479264784264358e-05,1.4687692038462844e-06,1.859031475199607e-05
5077.850008377724,6.464083173203503e-08,1.7015396818165823e-05,1.1982993573136042e-07,1.7154402907255352e-05,1.4949869663521904e-06,1.932918842147119e-05
5286.641591517374,6.574046199695844e-08,1.7713855672818785e-05,1.216101676815674e-07,1.785731380775982e-05,1.5222000294066122e-06,2.0098169929207312e-05
5504.018289443407,6.685865205786241e-08,1.8441011565906593e-05,1.234134370600697e-07,1.858913635472895e-05,1.5504748522902907e-06,2.0898443299088886e-05
5730.333105829569,6.799525023503543e-08,1.9198035289117164e-05,1.2524330628645548e-07,1.935104958663912e-05,1.5798701624235293e-06,2.1731236618250383e-05
5965.953559192664,6.914999210444499e-08,1.9986178587905746e-05,1.2710290820781353e-07,2.014431372155288e-05,1.6104364864918183e-06,2.2597868256488195e-05
6211.262279715393,7.032356591260347e-08,2.0806688999836548e-05,1.289973276605438e-07,2.097018483622843e-05,1.6422462327901815e-06,2.349963497868372e-05
6466.657630609518,7.151581321340378e-08,2.1660924176969808e-05,1.3093003421277503e-07,2.1830029276999376e-05,1.6753521019392556e-06,2.4437963110212276e-05
6732.554355028208,7.27267987334811e-08,2.2550254657536092e-05,1.3290548892746022e-07,2.2725226516060666e-05,1.709821389807301e-06,2.5414280914818534e-05
7009.38424957824,7.39562975633009e-08,2.3476131221105535e-05,1.3492767607704378e-07,2.36572364090512e-05,1.7457151516741384e-06,2.6430104564744548e-05
7297.596865525738,7.520458320542979e-08,2.4440055522031068e-05,1.3700124313019908e-07,2.4627569799846503e-05,1.7830979628839449e-06,2.748700051812575e-05
7597.660238834169,7.6472117662605e-08,2.5443567252520313e-05,1.3913175472269707e-07,2.5637776265913876e-05,1.8220479546094078e-06,2.858655989796976e-05
7910.061650220118,7.775641309720591e-08,2.6488395663958937e-05,1.413194436844134e-07,2.6689593240664202e-05,1.862582964237882e-06,2.9730634173393332e-05
8235.30841646112,7.905937481517482e-08,2.7576021303882942e-05,1.4357574258228981e-07,2.7784514603789594e-05,1.9048708545846786e-06,3.092066081454609e-05
8573.92871424056,8.038226194207263e-08,2.8708434453469457e-05,1.459019461399622e-07,2.8924537182864668e-05,1.948886123336169e-06,3.21588048456589e-05
8926.472437867556,8.172628041216729e-08,2.9887365944361033e-05,1.483065731406412e-07,3.0111404060501187e-05,1.99474566060754e-06,3.344681858825915e-05
9293.512092264567,8.30766343232385e-08,3.111474291359265e-05,1.50782379917086e-07,3.134705323847439e-05,2.042508635124836e-06,3.478670991868301e-05
9675.643722673107,8.445860007580496e-08,3.239256589978131e-05,1.53356221956682e-07,3.263349507882455e-05,2.0922621830176378e-06,3.61805517524922e-05
10073.487882587067,8.587730759987934e-08,3.372291261170585e-05,1.5603846275560338e-07,3.397281820872276e-05,2.1440851741793352e-06,3.763050161454314e-05
10487.690641485688,8.726171116229797e-08,3.510791083416025e-05,1.5877547374442778e-07,3.536716505067147e-05,2.19803226653352e-06,3.913871679056501e-05
10918.924634002584,8.870141746324547e-08,3.6549860046892894e-05,1.6164911966543681e-07,3.681884539612844e-05,2.254200066663797e-06,4.0707673776189235e-05
11367.890152234633,9.015075575495538e-08,3.805104294099241e-05,1.6462765893751675e-07,3.833015268964529e-05,2.312675208200245e-06,4.2339641535687735e-05
11835.316282964517,9.161625998835587e-08,3.961391638769793e-05,1.6772373374824115e-07,3.990355746574926e-05,2.373537597286594e-06,4.403718863747236e-05
12321.962091643712,9.310318169192633e-08,4.124104123424977e-05,1.709490600059434e-07,4.154163280083307e-05,2.4368766592357213e-06,4.580295046614841e-05
12828.617855058625,9.460125901870701e-08,4.293503825961668e-05,1.7430269717368938e-07,4.324701335446219e-05,2.5027756125330557e-06,4.763963293897469e-05
13356.106344681619,9.612175963756998e-08,4.469866134718347e-05,1.7780215795553737e-07,4.502246552469057e-05,2.5713318702781432e-06,4.955006867655462e-05
13905.284162791027,9.76537998832572e-08,4.6534773026024186e-05,1.8144664695279868e-07,4.6870866195804086e-05,2.642632178688844e-06,5.1537207610747724e-05
14477.043133529785,9.921028339713753e-08,4.844635437434003e-05,1.8525577647235873e-07,4.8795209809092425e-05,2.7167791684218315e-06,5.360411325815884e-05
15072.311751161988,1.0076519167628272e-07,5.043650081545304e-05,1.8921689409431106e-07,5.079860739822124e-05,2.7938572808505635e-06,5.57539706564025e-05
15692.056687878789,1.0236145803985824e-07,5.2508457838759654e-05,1.9337553891818887e-07,5.288431670160615e-05,2.8739882041910867e-06,5.7990106826727604e-05
16337.28436360253,1.0394811040994758e-07,5.466565227346317e-05,1.9769894460921628e-07,5.5055783232524844e-05,2.957246879918344e-06,6.0316043758958686e-05
17009.04258033824,1.0555765796087342e-07,5.691139935418693e-05,2.0222438182564275e-07,5.7316335755275055e-05,3.043747508514941e-06,6.273521350605855e-05
17708.422223726546,1.0717612155034216e-07,5.924949165209381e-05,2.0695319194691954e-07,5.96697752305693e-05,3.1336330772462744e-06,6.525138655304194e-05
18436.55903456127,1.088109345180826e-07,6.168371652113557e-05,2.1190039123623627e-07,6.211991493848888e-05,3.2269645445737796e-06,6.786856681055045e-05
19194.635453148407,1.1045396116372798e-07,6.421791819566452e-05,2.1707193902946835e-07,6.467061106463066e-05,3.3238707635611873e-06,7.0590644849892e-05
19983.88253950173,1.1211176848435456e-07,6.685636911498968e-05,2.2248604253473634e-07,6.73261520666781e-05,3.4244719182469774e-06,7.342198342686372e-05
20805.581972493168,1.1377579423062337e-07,6.960330439645461e-05,2.2814834321464465e-07,7.009079043344488e-05,3.528880589015301e-06,7.63669149613092e-05
21661.068131204353,1.1545260721307673e-07,7.246319216449005e-05,2.3407778655973012e-07,7.296900984896953e-05,3.637219733406647e-06,7.942999586818199e-05
22551.7302618597,1.1713162044545386e-07,7.544047772403925e-05,2.402792947992207e-07,7.59652731985768e-05,3.749606789173338e-06,8.261577835964782e-05
23479.014733859363,1.1882070205527552e-07,7.854026145442308e-05,2.467744846131111e-07,7.908469767439053e-05,3.8661733091003116e-06,8.59294464470729e-05
24444.42738857616,1.2051446270896006e-07,8.176743924150514e-05,2.5357379977958486e-07,8.233219655509419e-05,3.9870438905068695e-06,8.937599866416084e-05
25449.53598473054,1.2221348124767895e-07,8.512733616438802e-05,2.6069364364891387e-07,8.571311236796206e-05,4.112350293717411e-06,9.296085201581136e-05
26495.97274431474,1.239160920719553e-07,8.862538712780747e-05,2.6814891429478754e-07,8.923289769838968e-05,4.24222402978136e-06,9.66895401724114e-05
27585.437003200535,1.2562120434276703e-07,9.22671167756989e-05,2.759557633302452e-07,9.289709375548402e-05,4.37680485067361e-06,0.00010056769345034256
28719.697970734982,1.273254040507153e-07,9.60586418312618e-05,2.8412870649906896e-07,9.671183701305831e-05,4.516224018087941e-06,0.0001046015096546258
29900.597602805465,1.290303197198391e-07,0.00010000608921000149,2.926875804436016e-07,0.00010068327125350873,4.660624792651871e-06,0.00010879722624994445
31130.053593039782,1.3073362098940247e-07,0.00010411577210124768,3.016492251211533e-07,0.00010481772718874085,4.810152187697595e-06,0.00011316125368555237
32410.06248699877,1.3243378842431113e-07,0.00010839442501496717,3.110317764022963e-07,0.00010912195778328567,4.964949429837214e-06,0.00011770042104338367
