segment,phase,t,h,accepted_steps,residual_evals,jacobian_evals,error_test_failures
2,step,1.3557529735253537,0.0078331745402996193,55,84,12,1
2,step,1.3635861480656533,0.0078331745402996193,56,85,12,1
2,step,1.3714193226059528,0.0078331745402996193,57,86,12,1
2,step,1.3792524971462523,0.0078331745402996193,58,87,12,1
2,step,1.3870856716865518,0.0078331745402996193,59,89,12,1
2,step,1.3949188462268514,0.0078331745402996193,60,90,12,1
2,step,1.4027520207671509,0.0078331745402996193,61,91,12,1
2,step,1.4105851953074504,0.0078331745402996193,62,92,12,1
2,step,1.4184183698477499,0.0078331745402996193,63,94,12,1
2,step,1.4262515443880495,0.0078331745402996193,64,95,12,1
2,step,1.434084718928349,0.0078331745402996193,65,96,12,1
2,step,1.4497510680089483,0.015666349080599239,66,98,13,1
2,step,1.4654174170895475,0.015666349080599239,67,99,13,1
2,step,1.4810837661701468,0.015666349080599239,68,100,13,1
2,step,1.4967501152507461,0.015666349080599239,69,101,13,1
2,step,1.5124164643313454,0.015666349080599239,70,102,13,1
2,step,1.5280828134119446,0.015666349080599239,71,104,13,1
2,step,1.5437491624925439,0.015666349080599239,72,105,13,1
2,step,1.5594155115731432,0.015666349080599239,73,106,13,1
2,step,1.5750818606537424,0.015666349080599239,74,107,13,1
2,step,1.5907482097343417,0.015666349080599239,75,108,13,1
2,step,1.606414558814941,0.015666349080599239,76,109,13,1
2,step,1.6220809078955403,0.015666349080599239,77,110,13,1
2,step,1.6377472569761395,0.015666349080599239,78,112,13,1
2,step,1.6534136060567388,0.015666349080599239,79,113,13,1
2,step,1.6690799551373381,0.015666349080599239,80,114,13,1
2,step,1.6847463042179374,0.015666349080599239,81,115,13,1
2,step,1.7004126532985366,0.015666349080599239,82,116,13,1
2,step,1.7160790023791359,0.015666349080599239,83,117,13,1
2,step,1.7317453514597352,0.015666349080599239,84,119,13,1
2,step,1.7474117005403345,0.015666349080599239,85,120,13,1
2,step,1.7630780496209337,0.015666349080599239,86,122,13,1
2,step,1.778744398701533,0.015666349080599239,87,123,13,1
2,step,1.7944107477821323,0.015666349080599239,88,124,13,1
2,step,1.8100770968627315,0.015666349080599239,89,125,13,1
2,step,1.8257434459433308,0.015666349080599239,90,127,13,1
2,step,1.8414097950239301,0.015666349080599239,91,128,13,1
2,step,1.8570761441045294,0.015666349080599239,92,129,13,1
2,step,1.8727424931851286,0.015666349080599239,93,130,13,1
2,step,1.8884088422657279,0.015666349080599239,94,131,13,1
2,step,1.9020790985174092,0.013670256251681228,95,134,13,1
2,step,1.9132292611539532,0.011150162636544112,96,137,13,1
2,step,1.9243794237904972,0.011150162636544112,97,139,13,1
2,step,1.9355295864270412,0.011150162636544112,98,141,13,1
2,step,1.9466797490635852,0.011150162636544112,99,143,13,1
2,step,1.9578299117001292,0.011150162636544112,100,145,13,1
2,step,1.9689800743366732,0.011150162636544112,101,146,13,1
2,step,1.9801302369732172,0.011150162636544112,102,147,13,1
2,step,2.0024305622463054,0.022300325273088225,103,149,14,1
2,step,2.0247308875193935,0.022300325273088225,104,150,14,1
2,step,2.0470312127924815,0.022300325273088225,105,151,14,1
2,step,2.0693315380655695,0.022300325273088225,106,152,14,1
2,step,2.0916318633386575,0.022300325273088225,107,154,14,1
2,step,2.1139321886117455,0.022300325273088225,108,155,14,1
2,step,2.1340024813575247,0.020070292745779404,109,157,14,1
2,step,2.1540727741033039,0.020070292745779404,110,158,14,1
2,step,2.1741430668490831,0.020070292745779404,111,159,14,1
2,step,2.1942133595948623,0.020070292745779404,112,160,14,1
2,step,2.2142836523406415,0.020070292745779404,113,161,14,1
2,step,2.2343539450864207,0.020070292745779404,114,162,14,1
2,step,2.2544242378321999,0.020070292745779404,115,164,14,1
2,step,2.2744945305779791,0.020070292745779404,116,165,14,1
